id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21	PositiveTail 22
Braams et al., 2014-Interaction effect Person x Outcome; affiliation	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Braams et al., 2014-Main effect of Person; affiliation	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Braams et al., 2014-Main effect of outcome; affiliation	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacioppo et al., 2014-Negative correlation: perception of syncrhony and feelings of social affiliation; affiliation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacioppo et al., 2014-Positive correlation: perception of syncrhony and feelings of social affiliation; affiliation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacioppo et al., 2014-Synchrony > asynchrony; affiliation	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carter et al., 2008-Angry > Happy; affiliation	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carter et al., 2008-Happy > Angry; affiliation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chen et al., 2010-Gender > Preference; affiliation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chen et al., 2010-Preference > Gender; affiliation	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheng et al., 2010-loved one > self; affiliation	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheng et al., 2010-loved one > stranger; affiliation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cooper et al., 2013-Match > Unrequited; affiliation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cooper et al., 2013-Mismatched (Rejection + Unrequited) > matched (Match + Disinterest); affiliation	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cooper et al., 2013-Partners who were given a no > those given a yes; affiliation	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cooper et al., 2013-Partners who were given a yes > those given a no; affiliation	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cooper et al., 2013-Rejection > Disinterest; affiliation	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cooper et al., 2013-Unsigned prediction errors from RL model; affiliation	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cooper et al., 2013-Yes (Match + Unrequited) > No (Rejection + Disinterest); affiliation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Decety et al., 2004-Competition versus cooperation; affiliation	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Decety et al., 2004-Competition versus independent; affiliation	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Decety et al., 2004-Cooperation versus competition; affiliation	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
