Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	34.0	26.0	-12.0	4.59656032311374	9008
PositiveTail 1a	50.0	26.0	0.0	4.070622594675576	
PositiveTail 1b	28.0	22.0	-6.0	3.815073283361666	
PositiveTail 1c	48.0	24.0	-6.0	3.815073283361666	
PositiveTail 2	-48.0	-64.0	34.0	4.070622594675576	4616
PositiveTail 2a	-50.0	-56.0	38.0	3.815073283361666	
PositiveTail 2b	-42.0	-58.0	44.0	3.815073283361666	
PositiveTail 2c	-46.0	-66.0	40.0	3.4992003083605305	
PositiveTail 3	-4.0	40.0	-8.0	4.070622594675576	11840
PositiveTail 3a	0.0	56.0	-6.0	4.070622594675576	
PositiveTail 3b	-6.0	52.0	-10.0	3.815073283361666	
PositiveTail 3c	0.0	40.0	2.0	3.815073283361666	
PositiveTail 4	-34.0	16.0	-12.0	4.070622594675576	6000
PositiveTail 4a	-38.0	22.0	-2.0	3.815073283361666	
PositiveTail 4b	-32.0	12.0	-8.0	3.815073283361666	
PositiveTail 4c	-38.0	24.0	-10.0	3.4992003083605305	
PositiveTail 5	2.0	-54.0	28.0	4.070622594675576	4496
PositiveTail 5a	-4.0	-60.0	28.0	3.4992003083605305	
PositiveTail 5b	-4.0	-56.0	40.0	3.4992003083605305	
PositiveTail 5c	-6.0	-58.0	32.0	3.4992003083605305	
PositiveTail 6	-2.0	30.0	44.0	4.070622594675576	5320
PositiveTail 6a	2.0	20.0	48.0	4.070622594675576	
PositiveTail 6b	0.0	32.0	40.0	3.815073283361666	
PositiveTail 6c	-4.0	20.0	42.0	3.815073283361666	
PositiveTail 7	-8.0	58.0	22.0	3.815073283361666	4456
PositiveTail 7a	0.0	56.0	24.0	3.4992003083605305	
PositiveTail 7b	8.0	60.0	22.0	3.4992003083605305	
PositiveTail 7c	-8.0	62.0	24.0	3.1515738940155575	
PositiveTail 8	50.0	-70.0	8.0	3.815073283361666	2696
PositiveTail 8a	54.0	-64.0	4.0	3.1515738940155575	
PositiveTail 8b	44.0	-64.0	8.0	2.7581967458927523	
PositiveTail 8c	42.0	-70.0	0.0	2.325750899997832	
PositiveTail 9	46.0	-54.0	32.0	3.1515738940155575	2000
PositiveTail 9a	50.0	-52.0	42.0	3.1515738940155575	
PositiveTail 9b	50.0	-54.0	30.0	2.7581967458927523	
PositiveTail 9c	54.0	-58.0	36.0	2.325750899997832	
PositiveTail 10	24.0	-66.0	56.0	3.1515738940155575	2144
PositiveTail 10a	26.0	-66.0	48.0	3.1515738940155575	
PositiveTail 10b	32.0	-60.0	48.0	3.1515738940155575	
PositiveTail 10c	24.0	-54.0	50.0	2.7581967458927523	
PositiveTail 11	-6.0	-16.0	2.0	2.7581967458927523	1376
PositiveTail 11a	-8.0	-14.0	-6.0	1.8634335871817538	
PositiveTail 11b	-8.0	-24.0	0.0	1.8634335871817538	
PositiveTail 11c	-6.0	-12.0	-4.0	1.8634335871817538	
PositiveTail 12	46.0	20.0	36.0	2.7581967458927523	400
PositiveTail 13	60.0	-44.0	12.0	2.7581967458927523	968
PositiveTail 13a	60.0	-40.0	20.0	2.325750899997832	
PositiveTail 13b	64.0	-44.0	14.0	2.325750899997832	
PositiveTail 13c	62.0	-30.0	18.0	2.325750899997832	
PositiveTail 14	-30.0	18.0	46.0	2.325750899997832	472
PositiveTail 14a	-24.0	28.0	46.0	1.8634335871817538	
PositiveTail 15	-44.0	-78.0	8.0	2.325750899997832	336
PositiveTail 16	-24.0	0.0	-16.0	2.325750899997832	264
PositiveTail 17	52.0	22.0	22.0	2.325750899997832	88
PositiveTail 18	16.0	-52.0	2.0	2.325750899997832	112
PositiveTail 19	-52.0	28.0	10.0	1.8634335871817538	80
PositiveTail 20	2.0	-18.0	42.0	1.8634335871817538	272
PositiveTail 21	2.0	-36.0	44.0	1.8634335871817538	200
PositiveTail 22	28.0	-78.0	-32.0	1.8634335871817538	104
