id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21	PositiveTail 22	PositiveTail 23	PositiveTail 24
Akitsuki et al., 2009-Pain > no pain; others	0	3	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akitsuki et al., 2009-Self + Other > Self; others	0	1	3	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anders et al., 2015-univariate analysis: friend minus pc; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arioli et al., 2017-Affective > Cooperative social interactions; others	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baek et al., 2017-Select > content; others	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baek et al., 2017-Share > content; others	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baek et al., 2017-Share > select; others	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Balslev et al., 2006-Active conditions > passive conditions; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Begliomini et al., 2017-FA > FT; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Begliomini et al., 2017-FA_HL > PLD; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Begliomini et al., 2017-FA_PLD > HL; others	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Begliomini et al., 2017-HL > PLD; others	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Begliomini et al., 2017-HL_FT > FA; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Begliomini et al., 2017-PLD > HL; others	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Begliomini et al., 2017-PLD_FA > FT; others	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
