Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	0.0	-58.0	30.0	10.305110642305328	12360
PositiveTail 1a	-2.0	-52.0	22.0	7.609071701502677	
PositiveTail 1b	2.0	-52.0	48.0	2.7483190019604242	
PositiveTail 1c	-10.0	-52.0	18.0	2.462722858953831	
PositiveTail 2	-48.0	-62.0	24.0	8.465338532262733	46480
PositiveTail 2a	-52.0	-56.0	18.0	7.387738671747751	
PositiveTail 2b	-46.0	-58.0	32.0	7.166244711927414	
PositiveTail 2c	-46.0	-70.0	12.0	6.270270938376342	
PositiveTail 3	54.0	-44.0	12.0	7.609071701502677	32632
PositiveTail 3a	58.0	-48.0	18.0	6.949953718347869	
PositiveTail 3b	46.0	-68.0	6.0	6.270270938376342	
PositiveTail 3c	50.0	-52.0	20.0	6.039532618521384	
PositiveTail 4	-2.0	56.0	22.0	7.166244711927414	35496
PositiveTail 4a	0.0	16.0	52.0	6.949953718347869	
PositiveTail 4b	-4.0	8.0	54.0	6.4984930288724785	
PositiveTail 4c	2.0	20.0	48.0	5.805394459477819	
PositiveTail 5	-42.0	20.0	-8.0	6.4984930288724785	9952
PositiveTail 5a	-46.0	26.0	-14.0	6.270270938376342	
PositiveTail 5b	-36.0	18.0	0.0	6.039532618521384	
PositiveTail 5c	-50.0	32.0	-10.0	5.805394459477819	
PositiveTail 6	56.0	-2.0	-16.0	6.270270938376342	8536
PositiveTail 6a	54.0	2.0	-24.0	5.093539480819347	
PositiveTail 6b	54.0	-16.0	-12.0	3.306399462131052	
PositiveTail 6c	48.0	-10.0	-18.0	3.0289616827287116	
PositiveTail 7	48.0	16.0	32.0	5.331564462626421	17160
PositiveTail 7a	38.0	24.0	-6.0	4.855300378657411	
PositiveTail 7b	48.0	26.0	0.0	4.855300378657411	
PositiveTail 7c	52.0	26.0	8.0	4.610183020118419	
PositiveTail 8	-42.0	6.0	48.0	4.3636474416104045	8696
PositiveTail 8a	-48.0	32.0	18.0	3.579812545026814	
PositiveTail 8b	-50.0	28.0	26.0	3.579812545026814	
PositiveTail 8c	-40.0	6.0	34.0	3.579812545026814	
PositiveTail 9	16.0	-26.0	-2.0	4.109431675645243	1984
PositiveTail 9a	22.0	-30.0	-6.0	2.7483190019604242	
PositiveTail 9b	10.0	-18.0	4.0	2.1753182107983906	
PositiveTail 9c	22.0	-26.0	-4.0	2.1753182107983906	
PositiveTail 10	14.0	10.0	0.0	3.579812545026814	2000
PositiveTail 10a	12.0	16.0	-6.0	3.0289616827287116	
PositiveTail 10b	12.0	4.0	4.0	3.0289616827287116	
PositiveTail 10c	16.0	6.0	-4.0	3.0289616827287116	
PositiveTail 11	36.0	-54.0	44.0	3.306399462131052	2192
PositiveTail 11a	24.0	-66.0	58.0	2.7483190019604242	
PositiveTail 11b	32.0	-62.0	48.0	2.7483190019604242	
PositiveTail 11c	40.0	-60.0	46.0	2.7483190019604242	
PositiveTail 12	-26.0	-4.0	56.0	3.306399462131052	960
PositiveTail 12a	-32.0	-8.0	52.0	2.462722858953831	
PositiveTail 13	-24.0	-28.0	-2.0	3.306399462131052	904
PositiveTail 14	-10.0	10.0	0.0	3.0289616827287116	1296
PositiveTail 14a	-14.0	4.0	-6.0	2.7483190019604242	
PositiveTail 14b	-14.0	2.0	6.0	2.7483190019604242	
PositiveTail 14c	-6.0	10.0	0.0	2.7483190019604242	
PositiveTail 15	-6.0	-84.0	-6.0	2.7483190019604242	464
PositiveTail 15a	-6.0	-90.0	0.0	2.462722858953831	
PositiveTail 15b	-2.0	-82.0	-2.0	2.462722858953831	
PositiveTail 15c	-10.0	-82.0	-8.0	2.1753182107983906	
PositiveTail 16	-10.0	-88.0	10.0	2.7483190019604242	104
PositiveTail 17	26.0	-6.0	-20.0	2.7483190019604242	368
PositiveTail 18	-54.0	6.0	20.0	2.462722858953831	1056
PositiveTail 18a	-52.0	6.0	12.0	2.462722858953831	
PositiveTail 18b	-52.0	8.0	20.0	2.462722858953831	
PositiveTail 18c	-52.0	10.0	12.0	2.462722858953831	
PositiveTail 19	-22.0	-68.0	48.0	2.462722858953831	240
PositiveTail 20	38.0	-34.0	48.0	2.462722858953831	280
PositiveTail 20a	44.0	-32.0	58.0	2.462722858953831	
PositiveTail 20b	42.0	-30.0	48.0	2.1753182107983906	
PositiveTail 21	-34.0	14.0	44.0	2.1753182107983906	80
PositiveTail 22	-12.0	-54.0	10.0	2.1753182107983906	168
PositiveTail 23	-30.0	-56.0	-20.0	2.1753182107983906	96
PositiveTail 24	-20.0	-78.0	-34.0	1.881169810919586	104
