Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-36.0	20.0	-4.0	6.952417502427301	14552
PositiveTail 1a	-42.0	22.0	-10.0	5.190954186683493	
PositiveTail 1b	-42.0	32.0	-10.0	4.245304450607638	
PositiveTail 1c	-50.0	16.0	0.0	3.998826889848413	
PositiveTail 2	54.0	-44.0	6.0	6.457665443935772	34912
PositiveTail 2a	54.0	-52.0	8.0	6.009166947148063	
PositiveTail 2b	46.0	-70.0	-4.0	5.822532906353951	
PositiveTail 2c	58.0	-48.0	14.0	5.822532906353951	
PositiveTail 3	-56.0	-54.0	10.0	6.319756818390924	30904
PositiveTail 3a	-48.0	-70.0	4.0	6.319756818390924	
PositiveTail 3b	-56.0	-46.0	10.0	6.009166947148063	
PositiveTail 3c	-42.0	-76.0	0.0	6.009166947148063	
PositiveTail 4	38.0	24.0	-2.0	6.172851715642554	22488
PositiveTail 4a	48.0	8.0	36.0	4.728585408303006	
PositiveTail 4b	44.0	22.0	0.0	4.728585408303006	
PositiveTail 4c	50.0	8.0	26.0	4.728585408303006	
PositiveTail 5	-2.0	14.0	50.0	5.190954186683493	7472
PositiveTail 5a	6.0	14.0	48.0	4.957928237952935	
PositiveTail 5b	-2.0	22.0	42.0	4.245304450607638	
PositiveTail 5c	6.0	8.0	50.0	4.245304450607638	
PositiveTail 6	0.0	-54.0	30.0	4.957928237952935	4440
PositiveTail 6a	-6.0	-60.0	24.0	3.748688597604423	
PositiveTail 6b	2.0	-52.0	42.0	3.233461416591233	
PositiveTail 6c	0.0	-44.0	36.0	2.132750894497322	
PositiveTail 7	28.0	-56.0	50.0	4.957928237952935	8704
PositiveTail 7a	44.0	-32.0	44.0	4.245304450607638	
PositiveTail 7b	26.0	-56.0	54.0	3.998826889848413	
PositiveTail 7c	46.0	-40.0	44.0	3.998826889848413	
PositiveTail 8	-38.0	-50.0	46.0	4.491464026705272	7256
PositiveTail 8a	-38.0	-42.0	44.0	3.998826889848413	
PositiveTail 8b	-34.0	-50.0	42.0	3.998826889848413	
PositiveTail 8c	-34.0	-42.0	48.0	3.492498795578861	
PositiveTail 9	-4.0	44.0	-12.0	4.491464026705272	4264
PositiveTail 9a	-4.0	54.0	-8.0	2.9646196362148283	
PositiveTail 9b	-6.0	44.0	0.0	2.9646196362148283	
PositiveTail 9c	-4.0	52.0	0.0	2.413648715959539	
PositiveTail 10	-2.0	-16.0	6.0	4.245304450607638	10768
PositiveTail 10a	-18.0	-26.0	-4.0	3.998826889848413	
PositiveTail 10b	12.0	-18.0	0.0	3.998826889848413	
PositiveTail 10c	-16.0	-30.0	-4.0	3.998826889848413	
PositiveTail 11	-24.0	-4.0	-16.0	3.998826889848413	3696
PositiveTail 11a	-14.0	6.0	-4.0	2.9646196362148283	
PositiveTail 11b	-26.0	-12.0	-16.0	2.413648715959539	
PositiveTail 11c	-12.0	10.0	0.0	2.132750894497322	
PositiveTail 12	22.0	-2.0	-14.0	3.748688597604423	2040
PositiveTail 12a	18.0	-12.0	-12.0	2.413648715959539	
PositiveTail 13	-30.0	-4.0	56.0	3.748688597604423	2520
PositiveTail 13a	-32.0	0.0	44.0	2.9646196362148283	
PositiveTail 13b	-34.0	-4.0	54.0	2.9646196362148283	
PositiveTail 13c	-26.0	2.0	50.0	2.692197072510605	
PositiveTail 14	8.0	52.0	16.0	3.748688597604423	4872
PositiveTail 14a	-4.0	60.0	18.0	3.492498795578861	
PositiveTail 14b	4.0	62.0	8.0	3.233461416591233	
PositiveTail 14c	6.0	56.0	20.0	3.233461416591233	
PositiveTail 15	-40.0	8.0	32.0	3.492498795578861	2112
PositiveTail 15a	-44.0	2.0	36.0	2.9646196362148283	
PositiveTail 15b	-40.0	14.0	30.0	2.413648715959539	
PositiveTail 15c	-46.0	8.0	26.0	2.413648715959539	
PositiveTail 16	-44.0	-28.0	58.0	3.492498795578861	1704
PositiveTail 16a	-36.0	-28.0	54.0	3.492498795578861	
PositiveTail 16b	-40.0	-24.0	60.0	3.233461416591233	
PositiveTail 16c	-38.0	-16.0	58.0	2.692197072510605	
PositiveTail 17	-4.0	-88.0	2.0	3.492498795578861	3440
PositiveTail 17a	-12.0	-96.0	6.0	3.233461416591233	
PositiveTail 17b	-4.0	-92.0	6.0	3.233461416591233	
PositiveTail 17c	-12.0	-98.0	10.0	2.692197072510605	
PositiveTail 18	-10.0	36.0	52.0	2.9646196362148283	464
PositiveTail 18a	-18.0	34.0	48.0	2.132750894497322	
PositiveTail 18b	-6.0	36.0	48.0	2.132750894497322	
PositiveTail 18c	-6.0	44.0	44.0	1.8475519830309446	
PositiveTail 19	22.0	-92.0	12.0	2.9646196362148283	2944
PositiveTail 19a	14.0	-90.0	24.0	2.692197072510605	
PositiveTail 19b	18.0	-96.0	12.0	2.692197072510605	
PositiveTail 19c	16.0	-88.0	24.0	2.692197072510605	
PositiveTail 20	10.0	40.0	18.0	2.9646196362148283	184
PositiveTail 21	-58.0	0.0	-22.0	2.692197072510605	968
PositiveTail 21a	-52.0	-2.0	-16.0	2.413648715959539	
PositiveTail 21b	-52.0	6.0	-20.0	2.413648715959539	
PositiveTail 22	-4.0	-58.0	54.0	2.692197072510605	304
PositiveTail 23	-28.0	-70.0	40.0	2.692197072510605	464
PositiveTail 23a	-32.0	-74.0	34.0	1.8475519830309446	
PositiveTail 24	-24.0	30.0	50.0	2.413648715959539	240
PositiveTail 25	32.0	-70.0	32.0	2.413648715959539	224
PositiveTail 26	-14.0	-60.0	8.0	2.413648715959539	144
PositiveTail 27	-46.0	22.0	32.0	2.132750894497322	128
