meta_pmid,study_pmid,status,final_status
36436737,30374665,YES,NO
36436737,30349467,YES,YES
36436737,30225341,YES,NO
36436737,30154703,YES,YES
36436737,30085122,YES,NO
36436737,29992485,YES,NO
36436737,29890323,YES,YES
36436737,29806978,YES,NO
36436737,29771359,YES,YES
36436737,29760183,YES,YES
36436737,29740753,YES,YES
36436737,29723244,YES,YES
36436737,34895947,YES,NO
36436737,29476765,YES,YES
36436737,29455860,NO,NO
36436737,29432769,YES,YES
36436737,29408539,YES,NO
36436737,29330483,YES,YES
36436737,29324862,YES,YES
36436737,29265483,YES,YES
36436737,29221830,YES,YES
36436737,29915004,NO,NO
36436737,29582502,YES,YES
36436737,29164726,YES,NO
36436737,29126210,YES,NO
36436737,29111359,YES,NO
36436737,29097704,YES,YES
36436737,29079809,YES,YES
36436737,29073111,NO,YES
36436737,29039129,YES,YES
36436737,28931014,YES,YES
36436737,28914498,NO,NO
36436737,28905269,YES,YES
36436737,28807871,NO,NO
36436737,28766324,NO,NO
36436737,28643894,YES,NO
36436737,28608647,NO,NO
36436737,28583386,NO,NO
36436737,28557690,YES,NO
36436737,28551067,YES,NO
36436737,28540647,NO,NO
36436737,28504911,YES,YES
36436737,28477977,YES,YES
36436737,28455517,YES,NO
36436737,28338962,YES,YES
36436737,28289200,YES,NO
36436737,28242678,YES,YES
36436737,27978778,YES,NO
36436737,27898705,NO,NO
36436737,27859899,NO,NO
36436737,27856343,YES,YES
36436737,27803286,YES,YES
36436737,27798249,YES,YES
36436737,27496338,YES,YES
36436737,27568587,YES,YES
36436737,27713694,NO,NO
36436737,27695409,NO,NO
36436737,27622781,YES,YES
36436737,27579051,YES,NO
36436737,27576746,YES,YES
36436737,27528669,YES,YES
36436737,27510495,YES,YES
36436737,27494142,YES,YES
36436737,27477020,NO,YES
36436737,27458363,YES,YES
36436737,27458349,YES,NO
36436737,27405334,YES,NO
36436737,27375449,YES,YES
36436737,27358450,YES,NO
36436737,27319001,YES,YES
36436737,27280153,YES,NO
36436737,27266443,YES,YES
36436737,27236373,YES,YES
36436737,27217118,YES,YES
36436737,27167401,YES,NO
36436737,29777673,YES,YES
36436737,27165762,YES,YES
36436737,27129794,NO,NO
36436737,27129758,NO,NO
36436737,27122031,YES,NO
36436737,27109357,YES,NO
36436737,27096431,YES,YES
36436737,27095057,YES,YES
36436737,27090501,YES,YES
36436737,27039141,YES,YES
36436737,27007121,YES,YES
36436737,26969865,YES,YES
36436737,26920683,YES,YES
36436737,26908320,YES,YES
36436737,26892859,YES,YES
36436737,26825440,YES,NO
36436737,26812250,YES,YES
36436737,26803059,YES,YES
36436737,26746179,YES,YES
36436737,26737187,NO,NO
36436737,26736634,NO,NO
36436737,26656563,NO,YES
36436737,26621704,YES,NO
36436737,26608245,YES,YES
36436737,26604273,YES,YES
36436737,26598684,YES,YES
36436737,26567160,YES,YES
36436737,26541443,YES,NO
36436737,26514295,YES,NO
36436737,26505303,YES,YES
36436737,26481048,NO,YES
36436737,26417673,YES,YES
36436737,26385612,YES,YES
36436737,26365506,YES,YES
36436737,26342221,YES,YES
36436737,26337369,YES,YES
36436737,26323252,YES,YES
36436737,26318628,YES,NO
36436737,26301900,YES,YES
36436737,26262561,YES,YES
36436737,26254589,YES,YES
36436737,26235682,YES,YES
36436737,26206505,NO,YES
36436737,26168793,YES,YES
36436737,26162239,YES,NO
36436737,26117505,YES,YES
36436737,26048954,YES,NO
36436737,25996424,YES,YES
36436737,25987597,NO,NO
36436737,25944965,YES,YES
36436737,25929599,YES,YES
36436737,25911123,YES,YES
36436737,25893437,NO,NO
36436737,25885446,NO,NO
36436737,25848050,YES,NO
36436737,25820129,YES,NO
