meta_pmid,study_pmid,status,final_status,corrected_status,reason,SourceSheet,posthoc_status,posthoc_reason,title,year,author
36436737,10607399,YES,YES,YES,,YES,,,Distinct representations of eye gaze and identity in the distributed human neural system for face perception.,2000,Hoffman
36436737,10943684,YES,NO,,,YES,,,Differential response in the human amygdala to racial outgroup vs ingroup face stimuli.,2000,Hart
36436737,11352615,YES,YES,YES,,YES,NO,"Full-text unavailable, exclude",Seen gaze-direction modulates fusiform activity and its coupling with other brain areas during face processing.,2001,George
36436737,11496124,YES,YES,YES,,YES,,,Investigating the functional anatomy of empathy and forgiveness.,2001,Farrow
36436737,11850635,YES,YES,YES,,YES,,,Automatic and intentional brain responses during evaluation of trustworthiness of faces.,2002,Winston
36436737,12202103,NO,NO,NO,NotHealthy,YES,,,Hyperscanning: simultaneous fMRI during linked social interactions.,2002,Montague
36436737,14568477,YES,YES,YES,,YES,,,Self-responsibility and the self-serving bias: an fMRI investigation of causal attributions.,2003,Blackwood
36436737,14980212,YES,YES,YES,,YES,,,Brain responses to the acquired moral status of faces.,2004,Singer
36436737,15006683,YES,YES,YES,,YES,,,Watching social interactions produces dorsomedial prefrontal and medial parietal BOLD fMRI signal increases compared to a resting baseline.,2004,Iacoboni
36436737,15327630,YES,NO,YES,"NoCoordinates, Maybe",YES,YES,"LLM going beyond instructions to say not ""generalizable""",When strangers pass: processing of mutual and averted social gaze in the superior temporal sulcus.,2004,Pelphrey
36436737,15488424,YES,YES,YES,,YES,,,The neural bases of cooperation and competition: an fMRI investigation.,2004,Decety
36436737,15528097,YES,YES,YES,,YES,,,Brain activation associated with evaluative processes of guilt and embarrassment: an fMRI study.,2004,Takahashi
36436737,15668098,NO,NO,NO,Non-Adults,Non-Adults,,,Mapping brain maturation and cognitive development during adolescence.,2005,Paus
36436737,15701234,YES,YES,YES,,YES,,,Understanding intentions in social interaction: the role of the anterior paracingulate cortex.,2004,Walter
36436737,15808992,NO,YES,YES,Age,,,,"Self-face recognition activates a frontoparietal ""mirror"" network in the right hemisphere: an event-related fMRI study.",2005,Uddin
36436737,15862225,YES,NO,YES,,YES,,,Forming impressions of people versus inanimate objects: social-cognitive processing in the medial prefrontal cortex.,2005,Mitchell
36436737,16023041,NO,NO,NO,Non-Adults,Non-Adults,,,"Taking an ""intentional stance"" on eye-gaze shifts: a functional neuroimaging study of social perception in children.",2005,Mosconi
36436737,16035037,YES,YES,YES,,YES,,,Neural substrates for functionally discriminating self-face from personally familiar faces.,2006,Platek
36436737,16055351,YES,YES,YES,,YES,,,Emotion and attention interactions in social cognition: brain regions involved in processing anger prosody.,2005,Sander
36436737,16122944,YES,YES,YES,,YES,,,Neuronal correlates of theory of mind and empathy: a functional magnetic resonance imaging study in a nonverbal task.,2006,Völlm
36436737,16171833,YES,YES,YES,,YES,,,Being with virtual others: Neural correlates of social interaction.,2006,Schilbach
36436737,16406606,YES,YES,YES,,YES,,,Similar brain networks for detecting visuo-motor and visuo-proprioceptive synchrony.,2006,Balslev
