,meta_pmid,study_pmid
0,36100907,29432769
1,36100907,29723244
2,36100907,28287194
3,36100907,22453299
4,36100907,19538748
5,36100907,23155380
6,36100907,26347628
7,36100907,16038682
8,36100907,21118656
9,36100907,19794316
10,36100907,17923164
11,36100907,23021615
12,36100907,17825801
13,36100907,21418787
14,36100907,16838824
15,36100907,19942229
16,36100907,28549317
17,36100907,23776553
18,36100907,32490056
19,36100907,22952599
20,36100907,26952803
21,36100907,21710131
22,36100907,12853571
23,36100907,21498053
24,36100907,29740753
25,36436737,29432769
26,36436737,29723244
27,36436737,29582502
28,36436737,29097704
29,36436737,30154703
30,36436737,29890323
31,36436737,29760183
32,36436737,29740753
33,36436737,27496338
34,36436737,27576746
35,36436737,27510495
36,36436737,27494142
37,36436737,27375449
38,36436737,27319001
39,36436737,29777673
40,36436737,27095057
41,36436737,26969865
42,36436737,26892859
43,36436737,26746179
44,36436737,26567160
45,36436737,26505303
46,36436737,26417673
47,36436737,26385612
48,36436737,26342221
49,36436737,26323252
50,36436737,26301900
51,36436737,26254589
52,36436737,26235682
53,36436737,26117505
54,36436737,25697049
55,36436737,25534111
56,36436737,25315788
57,36436737,25281889
58,36436737,25118071
59,36436737,25042446
60,36436737,24936688
61,36436737,24842782
62,36436737,24825504
63,36436737,24726338
64,36436737,24700584
65,36436737,24652858
66,36436737,24633532
67,36436737,24243619
68,36436737,23813661
69,36436737,23740868
70,36436737,23684882
71,36436737,23620602
72,36436737,23460073
73,36436737,22848759
74,36436737,22841755
75,36436737,22726841
76,36436737,22174872
77,36436737,22019860
78,36436737,21955370
79,36436737,21940454
80,36436737,21908447
81,36436737,21849560
82,36436737,21664277
83,36436737,21606658
84,36436737,21600991
85,36436737,21569855
86,36436737,21320516
87,36436737,21249224
88,36436737,20705602
89,36436737,20534459
90,36436737,20096792
91,36436737,20056152
92,36436737,20045478
93,36436737,19944083
94,36436737,19439183
95,36436737,18633846
96,36436737,18633834
97,36436737,18985119
98,36436737,18985118
99,36436737,29771359
100,36436737,18783371
101,36436737,14568477
102,36436737,30852995
103,36436737,17986835
104,36436737,17627852
105,36436737,17404215
106,36436737,16035037
107,36436737,16759672
108,36436737,16171833
109,36436737,17071110
110,36436737,18370602
111,36436737,16055351
112,36436737,15701234
113,36436737,18439411
114,36436737,18514546
115,36436737,15528097
116,36436737,15006683
117,36436737,11850635
118,36436737,11496124
119,36436737,28008075
120,36436737,24666131
121,36436737,24582805
122,36436737,23876243
123,36436737,22125232
124,36436737,30930310
125,36436737,19304843
126,36436737,19347874
127,36436737,31598216
128,36436737,30077577
129,36436737,30658938
130,36436737,27716474
131,36436737,31090126
132,36436737,30272134
133,36436737,19136216
134,36436737,31783116
135,36436737,17408704
136,36436737,21206532
137,36436737,20119878
138,36436737,31142792
139,36436737,31056647
140,36436737,15808992
141,36436737,29330483
142,36436737,30056560
143,36436737,29324862
144,36436737,30349467
145,36436737,29265483
146,36436737,28905269
147,36436737,29073111
148,36436737,28931014
149,36436737,28504911
150,36436737,29476765
151,36436737,29221830
152,36436737,28477977
153,36436737,28338962
154,36436737,29039129
155,36436737,27856343
156,36436737,27803286
157,36436737,27568587
158,36436737,27798249
159,36436737,27622781
160,36436737,27266443
161,36436737,27458363
162,36436737,27477020
163,36436737,27528669
164,36436737,22563005
165,36436737,20188182
166,36436737,20071521
167,36436737,22661409
168,36436737,26143208
169,36436737,24084068
170,36436737,30649548
171,36436737,26803059
172,36436737,26656563
173,36436737,26608245
174,36436737,26604273
175,36436737,26481048
176,36436737,26365506
177,36436737,26337369
178,36436737,26262561
179,36436737,26206505
180,36436737,26168793
181,36436737,25944965
182,36436737,25996424
183,36436737,25929599
184,36436737,25729358
185,36436737,25716010
186,36436737,25640962
187,36436737,25298009
188,36436737,29077925
189,36436737,25911123
190,36436737,23599165
191,36436737,23574585
192,36436737,23508477
193,36436737,23482624
194,36436737,23378834
195,36436737,23327932
196,36436737,23298748
197,36436737,23249349
198,36436737,23063451
199,36436737,22956840
200,36436737,22349798
201,36436737,22019860
202,36436737,21864459
203,36436737,25088911
204,36436737,24814646
205,36436737,24583253
206,36436737,24639542
207,36436737,24772075
208,36436737,24462962
209,36436737,24824165
210,36436737,24294841
211,36436737,24414614
212,36436737,24834034
213,36436737,21862446
214,36436737,21703352
215,36436737,15488424
216,36436737,16122944
217,36436737,16406606
218,36436737,18633856
219,36436737,19733672
220,36436737,18501639
221,36436737,17964185
222,36436737,18486491
223,36436737,20188190
224,36436737,19015088
225,36436737,18633788
226,36436737,19048432
227,36436737,18537114
228,36436737,19199417
229,36436737,18585742
230,36436737,18603608
231,36436737,20350171
232,36436737,20350187
233,36436737,18313858
234,36436737,19107754
235,36436737,11352615
236,36436737,10607399
237,36436737,22360624
238,36436737,23435496
239,36436737,14980212
240,36436737,24097375
241,36436737,23221019
242,36436737,29079809
243,36436737,24294906
244,36436737,24068815
245,36436737,24051621
246,36436737,23988759
247,36436737,23887810
248,36436737,23722983
249,36436737,23720575
250,36436737,23696200
251,36436737,23667619
252,36436737,27236373
253,36436737,27165762
254,36436737,27096431
255,36436737,27090501
256,36436737,27039141
257,36436737,27007121
258,36436737,26920683
259,36436737,26908320
260,36436737,26812250
261,36436737,27217118
262,36436738,26598684
263,36436739,28242678
