meta_pmid,study_pmid,title,year,author
36436737,10607399,Distinct representations of eye gaze and identity in the distributed human neural system for face perception.,2000,Hoffman
36436737,11352615,Seen gaze-direction modulates fusiform activity and its coupling with other brain areas during face processing.,2001,George
36436737,11496124,Investigating the functional anatomy of empathy and forgiveness.,2001,Farrow
36436737,11850635,Automatic and intentional brain responses during evaluation of trustworthiness of faces.,2002,Winston
36436737,14568477,Self-responsibility and the self-serving bias: an fMRI investigation of causal attributions.,2003,Blackwood
36436737,14980212,Brain responses to the acquired moral status of faces.,2004,Singer
36436737,15006683,Watching social interactions produces dorsomedial prefrontal and medial parietal BOLD fMRI signal increases compared to a resting baseline.,2004,Iacoboni
36436737,15488424,The neural bases of cooperation and competition: an fMRI investigation.,2004,Decety
36436737,15528097,Brain activation associated with evaluative processes of guilt and embarrassment: an fMRI study.,2004,Takahashi
36436737,15701234,Understanding intentions in social interaction: the role of the anterior paracingulate cortex.,2004,Walter
36436737,15808992,"Self-face recognition activates a frontoparietal ""mirror"" network in the right hemisphere: an event-related fMRI study.",2005,Uddin
36436737,16035037,Neural substrates for functionally discriminating self-face from personally familiar faces.,2006,Platek
36436737,16055351,Emotion and attention interactions in social cognition: brain regions involved in processing anger prosody.,2005,Sander
36436737,16122944,Neuronal correlates of theory of mind and empathy: a functional magnetic resonance imaging study in a nonverbal task.,2006,Völlm
36436737,16171833,Being with virtual others: Neural correlates of social interaction.,2006,Schilbach
36436737,16406606,Similar brain networks for detecting visuo-motor and visuo-proprioceptive synchrony.,2006,Balslev
36436737,16759672,Spontaneous retrieval of affective person knowledge in face perception.,2007,Todorov
36436737,17071110,Evidence for a different role of the ventral and dorsal medial prefrontal cortex for social reactive aggression: An interactive fMRI study.,2007,Lotze
36436737,17404215,Social concepts are represented in the superior anterior temporal cortex.,2007,Zahn
36436737,17408704,Amygdala activation and facial expressions: explicit emotion discrimination versus implicit emotion processing.,2007,Habel
36436737,17627852,Cortical mechanism of communicative speech production.,2007,Sassa
36436737,17964185,Why are friends special? Implementing a social interaction simulation task to probe the neural correlates of friendship.,2008,Güroğlu
36436737,17986835,Cerebral differences in explicit and implicit emotional processing--an fMRI study.,2007,Scheuerecker
36436737,18313858,Valuating other people's emotional face expression: a combined functional magnetic resonance imaging and electroencephalography study.,2008,Seitz
36436737,18370602,Mirror neuron system differentially activated by facial expressions and social hand gestures: a functional magnetic resonance imaging study.,2008,Montgomery
36436737,18439411,Know your place: neural processing of social hierarchy in humans.,2008,Zink
36436737,18486491,Social cognitive neural networks during in-group and out-group interactions.,2008,Rilling
36436737,18501639,Face-specific and domain-general characteristics of cortical responses during self-recognition.,2008,Sugiura
36436737,18514546,Gender differences in brain networks supporting empathy.,2008,Schulte-Rüther
36436737,18537114,Frontal operculum temporal difference signals and social motor response learning.,2009,Kumar
36436737,18585742,The posterior superior temporal sulcus is involved in social communication not specific for the eyes.,2008,Materna
36436737,18603608,Understanding the intentions behind man-made products elicits neural activity in areas dedicated to mental state attribution.,2009,Steinbeis
36436737,18633788,"Theory of mind broad and narrow: reasoning about social exchange engages ToM areas, precautionary reasoning does not.",2006,Ermer
36436737,18633834,Listening to humans walking together activates the social brain circuitry.,2008,Saarela
36436737,18633846,Observing social interactions: the effect of gaze.,2008,Pierno
36436737,18633856,Friend or foe? Brain systems involved in the perception of dynamic signals of menacing and friendly social approaches.,2008,Carter
36436737,18783371,Through the looking glass: counter-mirror activation following incompatible sensorimotor learning.,2008,Catmur
36436737,18985118,Social groups that elicit disgust are differentially processed in mPFC.,2007,Harris
36436737,18985119,Social interaction modifies neural response to gaze shifts.,2007,Bristow
36436737,19015088,Mapping social target detection with functional magnetic resonance imaging.,2009,Dichter
36436737,19048432,Dynamic pupillary exchange engages brain regions encoding social salience.,2009,Harrison
36436737,19107754,Neural basis of individualistic and collectivistic views of self.,2009,Chiao
36436737,19136216,Amygdala activity to fear and anger in healthy young males is associated with testosterone.,2009,Derntl
36436737,19199417,How do we empathize with someone who is not like us? A functional magnetic resonance imaging study.,2010,Lamm
36436737,19304843,What motivates repayment? Neural correlates of reciprocity in the Trust Game.,2009,van den Bos
36436737,19347874,Attachment avoidance modulates neural response to masked facial emotion.,2009,Suslow
36436737,19439183,Social context and perceived agency affects empathy for pain: an event-related fMRI investigation.,2009,Akitsuki
36436737,19733672,Neural correlates of social cognition in naturalistic settings: a model-free analysis approach.,2010,Wolf
36436737,19944083,Emotional and cognitive aspects of empathy and their relation to social cognition--an fMRI-study.,2010,Krämer
36436737,20045478,When I think about me and simulate you: medial rostral prefrontal cortex and self-referential processes.,2010,Benoit
36436737,20056152,Brain mechanisms for representing what another person sees.,2010,Heyda
36436737,20071521,Value computations in ventral medial prefrontal cortex during charitable decision making incorporate input from regions involved in social cognition.,2010,Hare
36436737,20096792,Live face-to-face interaction during fMRI: a new tool for social cognitive neuroscience.,2010,Redcay
36436737,20119878,Neural regions that underlie reinforcement learning are also active for social expectancy violations.,2010,Harris
36436737,20188182,Love hurts: an fMRI study.,2010,Cheng
36436737,20188190,'Do I like this person?' A network analysis of midline cortex during a social preference task.,2010,Chen
36436737,20350171,Beyond the memory mechanism: person-selective and nonselective processes in recognition of personally familiar faces.,2011,Sugiura
36436737,20350187,From agents to objects: sexist attitudes and neural responses to sexualized targets.,2011,Cikara
36436737,20534459,Neural correlates of anchoring-and-adjustment during mentalizing.,2010,Tamir
36436737,20705602,Eyes on me: an fMRI study of the effects of social gaze on action control.,2011,Schilbach
36436737,21206532,Individuating faces and common objects produces equal responses in putative face-processing areas in the ventral occipitotemporal cortex.,2010,Haist
36436737,21249224,Recruitment of both the mirror and the mentalizing networks when observing social interactions depicted by point-lights: a neuroimaging study.,2011,Centelles
36436737,21320516,Gender differences in the neural correlates of humor processing: implications for different processing modes.,2011,Kohn
36436737,21569855,An fMRI study of violations of social expectations: when people are not who we expect them to be.,2011,Cloutier
36436737,21600991,The representation of social interaction in episodic memory: a functional MRI study.,2011,Mano
36436737,21606658,The role of the right hemisphere for processing of social interactions in normal adults using functional magnetic resonance imaging.,2011,Semrud-Clikeman
36436737,21664277,Higher or lower? The functional anatomy of perceived allocentric social hierarchies.,2011,Farrow
36436737,21703352,Neural regions associated with self control and mentalizing are recruited during prosocial behaviors towards the family.,2011,Telzer
36436737,21849560,The control of mimicry by eye contact is mediated by medial prefrontal cortex.,2011,Wang
36436737,21862446,Orbitofrontal cortex and anterior cingulate cortex are modulated by motivated social cognition.,2012,Hughes
36436737,21864459,Cerebral correlates and statistical criteria of cross-modal face and voice integration.,2011,Love
36436737,21908447,Dissociable neural correlates of stereotypes and other forms of semantic knowledge.,2012,Contreras
36436737,21940454,Supramodal representation of emotions.,2011,Klasen
36436737,21955370,An fMRI study of the social competition in healthy subjects.,2011,Polosan
36436737,22019860,Biological motion processing: the left cerebellum communicates with the right superior temporal sulcus.,2012,Sokolov
36436737,22125232,Brain mechanisms for processing affective touch.,2013,Gordon
36436737,22174872,The neural correlates of emotional prosody comprehension: disentangling simple from complex emotion.,2011,Alba-Ferrara
36436737,22349798,Empathic choice involves vmPFC value signals that are modulated by social processing implemented in IPL.,2013,Janowski
36436737,22360624,The superior temporal sulcus differentiates communicative and noncommunicative auditory signals.,2012,Shultz
