meta_pmid,study_pmid
31872334,17265148
31872334,16487726
31872334,16675403
31872334,12948722
31872334,19961940
31872334,19071223
31872334,22336565
31872334,19560123
31872334,17676057
31872334,19587291
31872334,17140674
31872334,14985419
31872334,18851716
31872334,17079666
31872334,15907305
31872334,15142963
31872334,19524531
31872334,18509047
31872334,11395019
31872334,10706432
31872334,17188518
31872334,22338036
31872334,20589242
31872334,19242558
31872334,18042401
31872334,19793990
31872334,19812332
31872334,19217383
31872334,17997112
31872334,19843618
31872334,17904386
31872334,16116457
31872334,15758183
31872334,11239442
31872334,18309087
31872334,16778890
31872334,11110834
31872334,17850241
31872334,16033924
31872334,21612768
31872334,18445214
31872334,10934265
31872334,9347486
31872334,12514228
31872334,15006665
31872334,10215087
31872334,9626713
31872334,19640506
31872334,19308261
31872334,19576868
31872334,15850746
31872334,15327927
31872334,19047075
31872334,18985124
31872334,18793731
31872334,20357071
31872334,17656073
31872334,19783412
31872334,15588617
31872334,16682235
31872334,17286837
31872334,18550593
31872334,17202543
31872334,20600994
31872334,17698008
31872334,16899731
31872334,18427116
31872334,20357127
31872334,20071521
31872334,19407204
31872334,18509023
31872334,20105435
31872334,14973239
31872334,16339445
31872334,19228976
31872334,17007234
31872334,16504951
31872334,18439412
31872334,19515916
31872334,16139525
31872334,20510371
31872334,20231475
31872334,16802856
31872334,14568478
31872334,11459880
31872334,17916330
31872334,15260961
31872334,11726774
31872334,12595181
31872334,17196537
31872334,15888656
31872334,10875899
31872334,18388729
31872334,18549791
31872334,19032746
31872334,17765572
31872334,16129404
31872334,18320179
31872334,18787233
31872334,19015090
31872334,19770058
31872334,16426719
31872334,17460071
31872334,17712267
31872334,17292631
31872334,11703464
31872334,12911764
31872334,11545466
31872334,15486494
31872334,12718866
31872334,15486304
31872334,20138482
31872334,19726640
31872334,17950474
31872334,17717184
31872334,15945130
31872334,15978024
31872334,15087550
31872334,11135651
31872334,19864559
31872334,11133312
31872334,12948701
31872334,16929307
31872334,20016088
31872334,20399735
31872334,17855612
31872334,11960021
31872334,16880132
31872334,18337404
31872334,15528079
31872334,12571121
31872334,18582578
31872334,15907318
31872334,17088503
31872334,15538191
31872334,10516320
31872334,17698371
31872334,17468751
31872334,18399882
31872334,12805551
31872334,17655834
31872334,16950228
31872334,18097655
31872334,18032658
31872334,17475790
31872334,18947356
31872334,19718655
31872334,18804540
31872334,20164333
31872334,19174537
31872334,19521264
31872334,17996464
31872334,18579749
31872334,9175118
31872334,18987206
31872334,17122317
31872334,19490086
31872334,12764119
31872334,19793875
31872334,16574168
31872334,21389226
31872334,19477159
31872334,19349237
31872334,12814578
31872334,15006651
31872334,19307555
31872334,18710652
31872334,17216152
31872334,17521924
31872334,17291784
31872334,19805082
31872334,19185567
31872334,18842669
31872334,16971537
31872334,20600178
31872334,15134646
