Unnamed: 0,Citation,Sample size,Contrasts
1,[???],Total N = 38; PTSD n = 19,Healthy controls > PTSD
2,[???],Total N = 41; PTSD n = 21,Non-PTSD > PTSD
3,[???],Total N = 24; PTSD n = 12,Controls > PTSD
4,[???],Total N = 20; PTSD n = 10,Controls > recent onset PTSD
5,[???],Total N = 60; PTSD n = 30,Healthy controls > PTSD
6,[???],Total N = 28; PTSD n = 14,Healthy controls > PTSD
7,[???],Total N = 33; PTSD n = 20,Non-Trauma controls > PTSD
8,[???],Total N = 38; PTSD n = 21,Controls > PTSD
9,[???],Total N = 184; PTSD n = 14,Non-PTSD > PTSD; trauma exposed > PTSD
10,[???],Total N = 28; PTSD n = 13,Trauma exposed > PTSD
11,[???],Total N = 41; PTSD n = 18,Combat-exposed Non-PTSD > PTSD
12,[???],Total N = 53; PTSD n = 24,Controls > PTSD
13,[???],Total N = 24; PTSD n = 12,Controls > PTSD
14,[???],Total N = 43; PTSD n = 21,Non-PTSD > PTSD
15,[???],Total N = 75; PTSD n = 25,Healthy controls > PTSD; trauma exposed > PTSD
16,[???],Total N = 220; PTSD n = 57,Trauma exposed > PTSD
17,[???],Total N = 32; PTSD n = 16,Trauma exposed controls > PTSD
18,[???],Total N = 31; PTSD n = 11,Healthy controls > PTSD; trauma exposed > PTSD
19,[???],Total N = 50; PTSD n = 25,Healthy controls > PTSD
20,[???],Total N = 25; PTSD n = 9,Non-PTSD > PTSD
21,[???],Total N = 20; PTSD n = 10,Trauma-exposed > PTSD
22,[???],Total N = 39; PTSD n = 14,Non-PTSD > PTSD
