rsFC + MACM consensus,rsFC + MACM consensus,rsFC + MACM consensus,rsFC + MACM consensus
Anatomical label,x,y,z
"Medial frontal gyrus, BA 10",− 2,50,6
"Medial frontal gyrus, BA 8",2,26,38
"Posterior cingulate, BA 31",− 4,− 54,26
"L angular gyrus, BA 39",− 46,− 68,30
"R superior temporal gyrus, BA 39",52,− 60,26
"L inferior frontal gyrus, BA 47",− 32,18,− 6
"R inferior frontal gyrus, BA 47",38,20,− 8
"L parahippocampal gyrus, BA 28",− 24,− 16,− 18
"L lentiform nucleus, putamen",− 12,10,− 4
R caudate,10,10,− 2
"L thalamus, medial dorsal nucleus",− 4,− 14,6
"R thalamus, medial dorsal nucleus",6,− 14,8
"L parahippocampal gyrus, BA 34",− 20,2,− 12
R hippocampus,26,− 14,− 20
"L inferior temporal gyrus, BA 21",− 56,− 10,− 16
"L parahippocampal gyrus, BA 28",− 16,− 4,− 14
