pmcid,table_id,table_label,x,y,z
4890474,Tab1,Table 1,16.0,-22.0,14.0
4890474,Tab1,Table 1,16.0,24.0,52.0
4890474,Tab1,Table 1,-8.0,56.0,-4.0
4890474,Tab1,Table 1,32.0,46.0,4.0
4890474,Tab1,Table 1,10.0,40.0,36.0
4890474,Tab1,Table 1,-20.0,-34.0,0.0
4890474,Tab1,Table 1,12.0,58.0,8.0
4890474,Tab1,Table 1,2.0,34.0,-20.0
4890474,Tab1,Table 1,-14.0,58.0,8.0
4890474,Tab1,Table 1,14.0,-58.0,-20.0
4890474,Tab1,Table 1,-40.0,8.0,10.0
4890474,Tab1,Table 1,2.0,-18.0,4.0
4890474,Tab2,Table 2,-39.0,7.0,9.0
4890474,Tab2,Table 2,-9.0,50.0,-3.0
4890474,Tab2,Table 2,2.0,-14.0,11.0
9472396,Tab2,Table 2,4,44,10
9472396,Tab2,Table 2,-30,14,-16
9472396,Tab2,Table 2,2,-18,36
9472396,Tab2,Table 2,0,36,-6
9472396,Tab2,Table 2,8,-52,24
9472396,Tab2,Table 2,-8,-54,26
9472396,Tab2,Table 2,0,-20,-20
9472396,Tab2,Table 2,4,28,16
9472396,Tab2,Table 2,30,16,-16
9472396,Tab2,Table 2,0,-70,34
9472396,Tab2,Table 2,-4,12,-2
9472396,Tab2,Table 2,52,-64,36
9472396,Tab2,Table 2,-50,-64,40
9472396,Tab2,Table 2,-6,-54,10
9472396,Tab2,Table 2,-22,-22,-14
9472396,Tab2,Table 2,-22,34,46
9472396,Tab2,Table 2,-4,-32,38
9472396,Tab2,Table 2,10,18,-4
9472396,Tab2,Table 2,-20,48,34
9472396,Tab2,Table 2,6,-50,-36
9472396,Tab2,Table 2,-2,50,6
9472396,Tab2,Table 2,0,14,48
9472396,Tab2,Table 2,2,26,38
9472396,Tab2,Table 2,-4,-54,26
9472396,Tab2,Table 2,-34,20,-2
9472396,Tab2,Table 2,36,22,-2
9472396,Tab2,Table 2,-46,-68,30
9472396,Tab2,Table 2,-30,-62,46
9472396,Tab2,Table 2,-46,10,28
9472396,Tab2,Table 2,52,-60,26
9472396,Tab2,Table 2,40,-52,44
9472396,Tab2,Table 2,-22,-8,-16
9472396,Tab2,Table 2,24,-6,-16
9472396,Tab2,Table 2,46,10,28
9472396,Tab2,Table 2,12,10,2
9472396,Tab2,Table 2,-12,8,-2
9472396,Tab2,Table 2,-6,-14,6
9472396,Tab2,Table 2,6,-14,6
9472396,Tab2,Table 2,-42,-44,44
9472396,Tab2,Table 2,-56,-10,-16
9472396,Tab3,Table 3,-2,50,6
9472396,Tab3,Table 3,2,26,38
9472396,Tab3,Table 3,-4,-54,26
9472396,Tab3,Table 3,-46,-68,30
9472396,Tab3,Table 3,52,-60,26
9472396,Tab3,Table 3,-32,18,-6
9472396,Tab3,Table 3,38,20,-8
9472396,Tab3,Table 3,-24,-16,-18
9472396,Tab3,Table 3,-12,10,-4
9472396,Tab3,Table 3,10,10,-2
9472396,Tab3,Table 3,-4,-14,6
9472396,Tab3,Table 3,6,-14,8
9472396,Tab3,Table 3,-20,2,-12
9472396,Tab3,Table 3,26,-14,-20
9472396,Tab3,Table 3,-56,-10,-16
9472396,Tab3,Table 3,-16,-4,-14
9148620,dad212318-tbl-0001,TABLE 1,24,-6,-14
9148620,dad212318-tbl-0001,TABLE 1,-4,12,-12
9148620,dad212318-tbl-0001,TABLE 1,10,34,28
9148620,dad212318-tbl-0001,TABLE 1,0,36,-10
9148620,dad212318-tbl-0001,TABLE 1,-32,22,4
9148620,dad212318-tbl-0002,TABLE 2,24,-6,-14
9148620,dad212318-tbl-0002,TABLE 2,0,36,-10
9148620,dad212318-tbl-0002,TABLE 2,-32,22,4
9148620,dad212318-tbl-0002,TABLE 2,-8,10,0
9148620,dad212318-tbl-0002,TABLE 2,10,34,26
9148620,dad212318-tbl-0002,TABLE 2,4,14,34
