pmcid,ext-link-type,href
4890474,uri,http://creativecommons.org/licenses/by/4.0/
4890474,uri,http://creativecommons.org/publicdomain/zero/1.0/
4890474,uri,http://www.brainmap.org/
4890474,uri,http://www.webofknowledge.com
4890474,uri,http://www.pubmed.gov
4890474,uri,http://www.brainmap.org/ale/
4890474,uri,http://www.ric.uthscsa.edu/mango/
4890474,uri,http://www.brainmap.org/sleuth/
4890474,uri,http://www.brainmap.org/taxonomy/
9472396,uri,https://creativecommons.org/licenses/by/4.0/
9472396,uri,https://creativecommons.org/publicdomain/zero/1.0/
9472396,uri,https://github.com/NBCLab/meta-analysis_ptsd
9472396,uri,http://ircc.fiu.edu
9472396,pmc:entrez-nucleotide,DA041156
9472396,uri,https://www.ptsd.va.gov/understand/common/common_adults.asp
9472396,uri,http://www.sidran.org/wp-content/uploads/2018/11/Post-Traumatic-Stress-Disorder-Fact-Sheet-.pdf
6326731,uri,http://creativecommons.org/licenses/by/4.0/
6326731,uri,https://creativecommons.org/licenses/by/4.0/legalcode
6326731,uri,https://doi.org/10.1162/netn_a_00050
6326731,uri,http://studyforrest.org
6326731,uri,https://github.com/62442katieb/meta-analytic-kmeans
6326731,uri,http://Neurosynth.org
6326731,uri,http://NeuroVault.org
6326731,uri,https://neurovault.org/collections/3179/
6326731,uri,http://dx.doi.org/10.13039/100000026
6326731,uri,http://dx.doi.org/10.13039/100000025
6326731,uri,http://dx.doi.org/10.13039/100000001
6326731,uri,http://www.mitpressjournals.org/doi/10.1162/jocn.2009.21118
6326731,uri,http://www.ncbi.nlm.nih.gov/pubmed/22905026
9148620,uri,https://creativecommons.org/licenses/by-nc/4.0/
