pmid,year,topic,first_author,data_contact,number_of_studies,method,dates,modality,search,additional_methods,inclusion,exclusion,search_results_n,selected_n,analyses,pmcid
36436737,2022,Social,Pintos Lobo,Rosario/Angie,239 studies,ALE (Functional),,fMRI,((“functional MRI” OR “functional magnetic resonance imaging” OR “fMRI”) AND (“social communication” OR “social processing” OR “social interaction” OR “affiliation” OR “social attachment” OR “social cognition” OR “understanding others”) AND (“human”)).,,"1) functional MRI scan while a human was completing a social-related task ; 2) healthy participants, age 18-60 3) whole-brain","results of region of interest (ROI) analyses, systematic reviews or meta-analyses, and studies reporting results among participants with psychiatric and/or neurological disorders",986,239,1) Global 2) Affiliation 3) Soc. Comm 4) Self 5) Others,9843621.0
36100907,2022,VBM of PTSD,Pankey,Brianna/Angie,23 studies,ALE (Structural) + MACM,,Structural,MRI studies reporting structural alterations associated with PTSD (VBM) from 2002 to 2020.; “morphometry + PTSD”.,,"peer-reviewed MRI studies, reporting results among adult humans, written in the English language, focused on gray matter structural differences, and included original data","trauma or stressful life event studies not measuring PTSD, other non-voxel-based morphometry methods, treatment and longitudinal effects, papers reporting a priori regions of interest (ROIs), within-group effects, null effects, overlapping samples to previous studies, and studies that did not report coordinate-based results",85,23,non-PTSD > PTSD,9472396.0
36115222,2022,VBM of Substance Use,Hill-Bowen,Lauren,82 studies,ALE (Structural) + MACM,,Structural,(“voxel-based morphometry” OR “morphometry” OR “gray matter density” OR “gray matter volume”) AND (“alcohol” OR “nicotine” OR “opiates” OR “stimulants” OR “cocaine” OR “cannabis”); reviewing bibliographies of existing meta-analyses and review articles,,"First, only empirical English language MRI studies assessing GM volume differences between substance users and controls were included. Second, only studies reporting whole-brain analysis outcomes of lower or higher GM volume were recorded, as region of interest (ROI) analyses violate the ALE null-hypothesis that assumes equal activity across all brain regions. Third, studies reporting foci as 3D coordinates (X, Y, Z) in Talairach or Montreal Neurological Institute (MNI) stereotaxic space were included","presence of pharmacological manipulations, brain lesion studies, and studies including participants with reports of mental and/or neurological disorders",4171,82,1) All substances b) Alcohol c) Nicotine d) Alcohol - Nicotine,
35664889,2022,Dementia,Kamalian,Masoud,73 studies,ALE (Str/Funct) + MACM,- 5/2020,"fMRI, Structural",(behavioral variant frontotemporal dementia OR bvFTD OR frontal variant frontotemporal dementia OR frontotemporal dementia OR picks disease) AND (functional magnetic resonance imaging OR fMRI OR voxel-based morphometry OR VBM OR positron emission tomography OR PET),,"(1) included clinically diagnosed bvFTD patients with no concurrent psychiatric diagnosis (e.g., major depressive disorder and bipolar mood disorder), other forms of dementia or neurological symptoms, and no history of alcohol and substance abuse; 3 , 18 (2) included at least six participants in either the patient or healthy group; (3) used VBM, fMRI (resting‐state or task based), and FDG‐PET as the imaging modality; (4) reported the coordinates of between‐group contrasts in a defined stochastic space (i.e., Montreal Neurological Institute [MNI] or Talairach); and (5) performed a whole‐brain analysis",1) ROI 2) No Control,5554,73,bvFTD < HC (all & by modality),9148620.0
34400176,2021,Cue Reactivity,Hill-Bowen,Lauren,196 studies,ALE (Functional) + MACM,- 8/1/2020,fMRI,(“cue-reactivity” OR “drug cue” OR “natural cue”) AND (“fMRI” OR “meta-analysis” OR “GingerALE”) AND/OR (“nicotine” OR “smoking” OR “cocaine” OR “cannabis” OR “heroin” OR “alcohol” OR “sexual” OR “sex” OR “food”),"Citation tracking, existing meta-analyses"," First, only empirical English language fMRI studies assessing drug or natural reward-related cue-reactivity using visual stimuli were included (other sensory cues [e.g., gustatory, olfactory, tactile] were not considered). Second, only studies reporting activity foci as 3D coordinates (X, Y, Z) in Talairach or Montreal Neurological Institute (MNI) stereotaxic space were included (studies involving regions of interest [ROIs] derived from a brain parcellation scheme were excluded given the absence of coordinates). Third, experiments reporting coordinates from whole-brain or small-volume corrected analyses involving a within-participant contrast of drug cues>control stimuli or natural reward-related cues>control stimuli were included. ",1) ROI,"4000, 3000","133, 63","1) Pooled 2), Common 3) Drug distinct 4) Natural Distinct",8511211.0
32659287,2020,Emotion Regulation,Morawetz,Cody,107 studies,Data-Driven Clustering,-7/1/2017,fMRI," “emotion regulation”, “affective regulation”, “implicit emotion regulation”, “explicit emotion regulation”, “interpersonal emotion regulation”, “extrinsic emotion regulation, “intrinsic emotion regulation”, “reappraisal”, “suppression”, “distraction”, “detachment”, “labelling”, “affective labelling”, “reinterpretation”, “rumination”, “fMRI”, “neuroimaging”, “functional magnetic resonance imaging”, or “functional MRI”.",Journal and PubMed Search,"    (1)     We only included data from studies of healthy adults with no prior report of neurological, medical, or psychiatric disorders in the current meta-analysis, while results of patients or specific sub-group effects (e.g., sex differences) were not included. Articles including patients were only selected if they reported results for a control group separately, and only the latter group was included here.     (2)     Only neuroimaging studies, which used whole-brain fMRI and reported coordinates for brain activation or deactivation in standard anatomical reference space (Talairach/Tournoux; Montreal Neurological Institute (MNI)) were considered. To address problems caused by different coordinates used in different studies, coordinates originally published in Talairach space were converted to MNI space using the algorithm implemented in GingerALE 2.3.5 (Laird et al., 2010, 2009; Lancaster et al., 2007).     (3)     Only studies reporting whole brain analyses were included, while studies based on partial coverage or employing only region-of-interest analyses were excluded. ",,,107,,
32078973,2020,Decision Making,Poudel,Ranjita,151 studies,ALE (Functional),-3/2019,fMRI,"(‘fMRI’, ‘BOLD’, ‘risk’, ‘risk-taking’, ‘risky decision-making’, ‘ambiguity’, ‘ambiguous decision-making’, ‘perception’, and ‘perceptual decision-making’) & (‘fMRI’, ‘risk’, ‘risk-taking’, ‘risky decision-making’, ‘nicotine’, ‘alcohol’, ‘marijuana’, ‘cocaine’, ‘methamphetamine’, ‘heroin’, ‘addiction’, ‘drug abuse’, ‘drug addiction’, and ‘substance abuse’)",PubMed/Google Scholar/Web of Science Search," First, only empirical English language articles using fMRI as a neuroimaging technique were included. We excluded PET studies to remove heterogeneity associated with different neuroimaging modalities. Second, only experiments reporting results from whole-brain analyses were included, as region of interest (ROI) analyses violate the ALE null-hypothesis that assumes equal activity across all brain regions. Third, only experiments reporting activity foci as 3D coordinates (X, Y, Z) in stereotactic (MNI or Talairach) space were included. Coordinates from studies including healthy controls, substance users, as well as participants with other neuropsychiatric conditions (i.e., internet addiction, gambling, internet gaming disorder, obesity, depressive disorders, anxiety disorders, conduct disorders, antisocial personality disorder, and schizophrenia) were utilized in the main analysis. Given that a sizable number of neuroimaging studies have considered risky- and ambiguous-DM among participants diagnosed with various neuropsychiatric conditions, we included studies involving both patient and healthy control samples in our main meta-analysis to be as inclusive as possible. Similarly, participants from all age groups (range: 10–69 years) were also included.",,"3779, 384, 4560","76, 41, 34","risky-DM (RDM, red), ambiguous-DM (ADM, blue), and perceptual-DM (PDM, green) ",7127964.0
31872334,2020,Reward,Flannery,Jessica F.,176 studies,Data-Driven Clustering,,,,BrainMap,,,,,,7117996.0
31063939,2019,Sleep Deprivation,Javaheripour,Masoud,31 studies,ALE (Functional) + MACM,- 1/2018,"VBM, FMRI, PET",(“sleep deprivation” OR “sleep loss” OR “sleep restriction”) AND (fMRI OR “functional magnetic resonance imaging” OR “voxel-based morphometry” OR “VBM” OR “positron emission tomography” OR “PET”) i,PubMed,1) original studies investigating neural correlates of SD on the healthy subjects without any psychiatric or medical conditions; 2) studies using before-after SD protocol or between two groups of subjects with and without SD; 3) studies focusing on acute SD (between 22 and 48 h at once).," 1) editorial letters, case-reports, systematic reviews, meta-analyses, and methodological studies; 2) intervention studies; 3) studies in children/adolescent (<18 y); 4) studies with less than seven subjects; 5) studies that did not perform the whole brain analysis. In particular, we excluded studies using region of interest (ROI) or small volume correction (SVC), as recommended previously [20]; 6) studies that did not report coordinates in the standard brain atlases such as Talairach or Montreal neurological institute (MNI) [21,22]. ",305,31,sleep deprivation > normal; normal > sleep deprivation,7279069.0
30793072,2018,Naturalistic Tasks,Bottenhorn,Katie,110 studies,Data-Driven Clustering,- 1/2016,fMRI,1) ((“naturalistic”[Title/Abstract] OR “real-world”[Title/Abstract] OR “ecologically valid”[Title/Abstract] OR “true-to-life”[Title/Abstract] OR “realistic”[Title/Abstract] OR “video game”[Title/Abstract] OR “film”[Title/Abstract] OR “movie”[Title/Abstract] OR “virtual reality”[Title/Abstract]) AND (“fMRI”[Title/Abstract] OR “functional magnetic resonance imaging”[Title/Abstract]) AND (“Humans”[MeSH])) 2) ((“music”[Title/Abstract] OR “speech”[Title/Abstract] OR “spoken”[Title/Abstract] OR “tactile object”[Title/Abstract]) AND (“naturalistic”[Title/Abstract] OR “real-world”[Title/Abstract] OR “ecologically valid”[Title/Abstract] OR “true-to-life”[Title/Abstract] OR “realistic”[Title/Abstract]) AND (“fMRI”[Title/Abstract] OR “functional magnetic resonance imaging”[Title/Abstract]) AND “Humans”[MeSH]),PubMed,naturalistic fMRI studies,1) non-naturalistic 2) training/learning studies 3) psychiatric diagnosis 4) age under 18 5) ROI 6) ANOVA interactions,754,110,Meta-Analytic Groups (MAGs),6326731.0
29944961,2018,Problem Solving,Bartley,Jessica B.,131 studies,ALE (Functional),1/1997 - 3/2015,"PET, fMRI","problem solving, calculation, verbal reasoning, visuospatial reasoning, insight, deductive reasoning, inductive reasoning, or fluid reasoning","PubMed, Web of Science, Google Scholar",1) met definition of problem solving 2) BOLD/rCBF increases 3) group-level effects in healthy adult individuals,"1) disease, age gender related group comparison",,,1) mathematical 2) verbal 3) visuospatial d) conjunction,6425494.0
29484767,2018,Emotion,Riedel,Cody,905 studies,Data-Driven Clustering,,,,BrainMap,,,,,,5951754.0
29338547,2018,Cannabis Use,Yanes,Julio Y.,35 studies,ALE (Functional) + MACM,`,"PET, FMRI",MRI OR magnetic resonance imaging OR fMRI OR functional magnetic resonance imaging OR PET OR positron emission tomography OR neuroimaging AND cannabis OR marijuana,"PubMed, Web of Science, Citation Search of reviews","(1) described between-group brain differences between cannabis users and non-users, (2) used fMRI and/or PET measures to derive these differences, (3) expressed differences as statistical parametric contrasts, encompassing the whole brain, with coordinates reported in standard stereotaxic space, and (4) utilized cognitive, social cognitive, affective, perceptual, and/or motor tasks","studies that assessed anatomical differences (e.g. voxel-based morphometry), functional resting-state differences, functional connectivity differences, and/or findings derived using ROI methods were excluded. Moreover, the current meta-analysis was limited to contrasts between cannabis users and non-users, omitting contrasts involving groups specifically selected for having mental health disorders and diseases. Published papers that examined one or more clinical groups (e.g. schizophrenia, bipolar disorder) were carefully reviewed using the inclusion/exclusion criteria.  In addition, pharmacologic assessments characterizing acute cannabis administration were not considered.",,,users < non-users ; users > non-users,5858977.0
27251183,2016,Nicotine Use,Sutherland,Matt,14 studies (underpowered),ALE (Structural) + MACM,-5/2015,Structural, (“voxel-based morphometry” OR “morphometry” OR “gray matter density” OR “gray matter volume”) AND (“nicotine” OR “tobacco” OR “cigarette” OR “smok*”),"PubMed, Web of Science, bibliographies","(1) assessed gray matter using structural MRI, (2) reported a set of coordinates (i.e., foci) from a between-subjects contrast comparing smokers to matched nonsmoking participants, (3) reported coordinates in a defined stereotaxic space (i.e., Talairach or Montreal Neurological Institute [MNI]), (4) performed a whole-brain analysis, and (5) provided sufficient information regarding characterization of smoking behaviors (e.g., pack-years, Fagerström Test of Nicotine Dependence [FTND] scores, years smoking, number of cigarettes smoked per day), basic demographics of the study samples (e.g., age, sex, N), and data analysis strategies (e.g., smoothing parameters, statistical thresholds).",,875,15,,4890474.0
26254112,2015,Frontal Pole CBP,Ray,Kim,"N/A (92-168 contrasts, ROI-based)",Connectivity Based Parcellation,,,,BrainMap,,,,,,4626376.0
26093327,2015,Face Perception,Laird,Angie,379 contrasts,Data-Driven Clustering,,,,BrainMap,,,,,,4564321.0
25662104,2015,Nicotine Administration,Sutherland,Matt,38 studies,ALE (Functional),,,,,,,,,,4494985.0
22282036,2012,Executive Function,Niendam,Angie,193 studies,ALE (Functional),2000-2013,"fMRI, PET",(“fMRI” OR “PET” OR “neuroimaging”) AND (“nicotine” OR “cigarette” OR “smok*”),"PubMed, Web of Science, bibliographies","1) employed fMRI or PET; 2) reported brain activity changes in stereotaxic coordinates (either Talairach or MNI space); 3) reported a set of coordinates (i.e., foci) from a within-subjects or between-subjects contrast assessing the effects of nAChR agonist administration (i.e., pharmacological administration or cigarette smoking) relative to a baseline condition (i.e., placebo administration or smoking-abstinence condition); and 4) examined brain activity using a cognitive or affective task paradigm or at rest (i.e., in the absence of explicit task demands)","Studies examining functional connectivity, brain morphology, or neurochemistry were not included. Given the relatively modest but expanding corpus of literature regarding the impact of nAChR agonists on human brain function, no study exclusions were made on the basis of participant age, neuropsychiatric condition, or statistical threshold considerations.",,38,nAChR decrease & increase; smoking increase & decrease,3660731.0
18511305,2008,Finger Tapping,Witt,Angie,38 studies,ALE (Functional),-7/2016,"fMRI, PET",,Medline," finger tapping tasks in unimpaired, right-handed subjects",Papers directly addressing motor learning or using over-trained subjects such as professional musicians were excluded,,38,,2592684.0
15846822,2005,n-back,Owen,Angie,24 studies,ALE (Functional),,,,"Medline, bibliography",n-back tasks,,,24,"all, identify verbal, identiy nonverbal, location non verbal",6871745.0
33970388,2021,Executive Function Networks,,Angie/Cody,158 maps,Image-Based Meta-Analysis,2007-2017,fMRI,"“fMRI central executive network”, “fMRI ‘central executive network’”, “fMRI cognitive control network”, “fMRI ‘cognitive control network’”, “fMRI dorsal attention network”, “fMRI ‘dorsal attention network’”, “fMRI executive network”, “fMRI ‘executive network’”, “fMRI executive control network”, “fMRI ‘executive control network’”, “fMRI frontoparietal control network”, “fMRI ‘fronto-parietal control network’”, “fMRI frontoparietal network”, “fMRI ‘frontoparietal network’”, “fMRI task positive network”, “fMRI ‘task positive network’”, “fMRI ventral attention network”, “fMRI ‘ventral attention network’”, “fMRI working memory network”, “fMRI ‘working memory network’”",PubMed,(1) the study included healthy participants of mean age no younger than 18 years and no older than 70 years; (2) the study presented statistical maps of healthy participants only or separately from patients; (3) statistical maps were derived from whole-brain analytic methods; and (4) statistical maps were explicitly defined,Papers were also excluded if networks were defined using either seed-voxel or ROI based techniques.,7864 -> 188 (contacted),69,,
