nimads_study_id,nimads_name,match_status,matched_pmid,matched_author,matched_year,matched_title,match_score,match_count
"Akitsuki et al., 2009","Akitsuki et al., 2009",exact_match,19439183,Akitsuki,2009,Social context and perceived agency affects empathy for pain: an event-related fMRI investigation.,1,1
"Alba-Ferrara et al., 2011","Alba-Ferrara et al., 2011",exact_match,22174872,Alba-Ferrara,2011,The neural correlates of emotional prosody comprehension: disentangling simple from complex emotion.,1,1
"Anders et al., 2015","Anders et al., 2015",exact_match,25315788,Anders,2015,Social gating of sensory information during ongoing communication.,1,1
"Arioli et al., 2017","Arioli et al., 2017",multiple_matches,29265483,Arioli,2018,Affective and cooperative social interactions modulate effective connectivity within and between the mirror and mentalizing systems.,0.95,2
"Bacha-Trams et al., 2017","Bacha-Trams et al., 2017",exact_match,29079809,Bacha-Trams,2017,Differential inter-subject correlation of brain activity when kinship is a variable in moral dilemma.,1,1
"Baek et al., 2017","Baek et al., 2017",exact_match,28504911,Baek,2017,The Value of Sharing Information: A Neural Account of Information Transmission.,1,1
"Balslev et al., 2006","Balslev et al., 2006",exact_match,16406606,Balslev,2006,Similar brain networks for detecting visuo-motor and visuo-proprioceptive synchrony.,1,1
"Barman et al., 2015","Barman et al., 2015",exact_match,25944965,Barman,2015,Gender-specific modulation of neural mechanisms underlying social reward processing by Autism Quotient.,1,1
"Beckes et al., 2013","Beckes et al., 2013",exact_match,22563005,Beckes,2013,Familiarity promotes the blurring of self and other in the neural representation of threat.,1,1
"Begliomini et al., 2017","Begliomini et al., 2017",exact_match,29097704,Begliomini,2017,Potential for social involvement modulates activity within the mirror and the mentalizing systems.,1,1
"Benoit et al., 2010","Benoit et al., 2010",exact_match,20045478,Benoit,2010,When I think about me and simulate you: medial rostral prefrontal cortex and self-referential processes.,1,1
"Bergström et al., 2014","Bergström et al., 2014",multiple_matches,24700584,Bergström,2015,Reflections of Oneself: Neurocognitive Evidence for Dissociable Forms of Self-Referential Recollection.,0.95,2
"Bitsch et al., 2018","Bitsch et al., 2018",exact_match,29582502,Bitsch,2018,The role of the right temporo-parietal junction in social decision-making.,1,1
"Bockler et al., 2016","Bockler et al., 2016",fuzzy_match,25996424,Böckler,2016,(How) observed eye-contact modulates gaze following. An fMRI study.,0.95,1
"Braams et al., 2014","Braams et al., 2014",exact_match,23720575,Braams,2014,Reward-related neural responses are dependent on the beneficiary.,1,1
"Bristow et al., 2007","Bristow et al., 2007",exact_match,18985119,Bristow,2007,Social interaction modifies neural response to gaze shifts.,1,1
"Cacioppo et al., 2014","Cacioppo et al., 2014",exact_match,25088911,Cacioppo,2014,You are in sync with me: neural correlates of interpersonal synchrony with a partner.,1,1
"Canessa et al., 2012","Canessa et al., 2012",exact_match,22848759,Canessa,2012,The neural bases of social intention understanding: the role of interaction goals.,1,1
"Carter et al., 2008","Carter et al., 2008",exact_match,18633856,Carter,2008,Friend or foe? Brain systems involved in the perception of dynamic signals of menacing and friendly social approaches.,1,1
"Caruana et al., 2015","Caruana et al., 2015",exact_match,25534111,Caruana,2015,A frontotemporoparietal network common to initiating and responding to joint attention bids.,1,1
"Cassidy et al., 2016","Cassidy et al., 2016",exact_match,26908320,Cassidy,2016,Dynamic neural mechanisms underlie race disparities in social cognition.,1,1
"Catmur et al., 2008","Catmur et al., 2008",exact_match,18783371,Catmur,2008,Through the looking glass: counter-mirror activation following incompatible sensorimotor learning.,1,1
"Cazzato et al., 2015","Cazzato et al., 2015",exact_match,26262561,Cazzato,2015,The attracting power of the gaze of politicians is modulated by the personality and ideological attitude of their voters: a functional magnetic resonance imaging study.,1,1
"Centelles et al., 2011","Centelles et al., 2011",exact_match,21249224,Centelles,2011,Recruitment of both the mirror and the mentalizing networks when observing social interactions depicted by point-lights: a neuroimaging study.,1,1
"Chen et al., 2010","Chen et al., 2010",exact_match,20188190,Chen,2010,'Do I like this person?' A network analysis of midline cortex during a social preference task.,1,1
"Cheng et al., 2010","Cheng et al., 2010",exact_match,20188182,Cheng,2010,Love hurts: an fMRI study.,1,1
"Chiao et al., 2009","Chiao et al., 2009",exact_match,19107754,Chiao,2009,Neural basis of individualistic and collectivistic views of self.,1,1
"Ciaramidaro et al., 2013","Ciaramidaro et al., 2013",multiple_matches,23620602,Ciaramidaro,2014,Do you mean me? Communicative intentions recruit the mirror and the mentalizing system.,0.95,2
"Ciaramidaro et al., 2013","Ciaramidaro et al., 2013",multiple_matches,24726338,Cikara,2014,Reduced self-referential neural response during intergroup competition predicts competitor harm.,0.859090909,2
"Cikara et al., 2014","Cikara et al., 2014",exact_match,24726338,Cikara,2014,Reduced self-referential neural response during intergroup competition predicts competitor harm.,1,1
"Cloutier et al., 2011","Cloutier et al., 2011",exact_match,21569855,Cloutier,2011,An fMRI study of violations of social expectations: when people are not who we expect them to be.,1,1
"Cloutier et al., 2014","Cloutier et al., 2014",exact_match,24936688,Cloutier,2014,Ventral medial prefrontal cortex and person evaluation: forming impressions of others varying in financial and moral status.,1,1
"Contreras et al., 2011","Contreras et al., 2011",fuzzy_match,21569855,Cloutier,2011,An fMRI study of violations of social expectations: when people are not who we expect them to be.,0.666666667,1
"Contreras et al., 2013","Contreras et al., 2013",exact_match,23574585,Contreras,2013,Common brain regions with distinct patterns of neural responses during mentalizing about groups and individuals.,1,1
"Cooper et al., 2013","Cooper et al., 2013",multiple_matches,23599165,Cooper,2014,The role of the posterior temporal and medial prefrontal cortices in mediating learning from romantic interest and rejection.,0.95,2
"Cooper et al., 2013","Cooper et al., 2013",multiple_matches,24814646,Fehr,2014,Neural correlates of the empathic perceptual processing of realistic social interaction scenarios displayed from a first-order perspective.,0.616666667,2
"Cross et al., 2019","Cross et al., 2019",exact_match,30852995,Cross,2019,A neurocognitive investigation of the impact of socializing with a robot on empathy for pain.,1,1
"Cuevas et al., 2019","Cuevas et al., 2019",exact_match,30930310,Cuevas,2019,The facilitative effect of gestures on the neural processing of semantic complexity in a continuous narrative.,1,1
"Davies-Thompson et al., 2018","Davies-Thompson et al., 2018",multiple_matches,29330483,Safron,2018,"Neural Correlates of Sexual Orientation in Heterosexual, Bisexual, and Homosexual Women.",0.666666667,2
"Davies-Thompson et al., 2018","Davies-Thompson et al., 2018",multiple_matches,29723244,Tso,2018,"The ""social brain"" is highly sensitive to the mere presence of social information: An automated meta-analysis and an independent study.",0.666666667,2
"Decety et al., 2004","Decety et al., 2004",exact_match,15488424,Decety,2004,The neural bases of cooperation and competition: an fMRI investigation.,1,1
"Derntl et al., 2009","Derntl et al., 2009",exact_match,19136216,Derntl,2009,Amygdala activity to fear and anger in healthy young males is associated with testosterone.,1,1
"Deuse et al., 2016","Deuse et al., 2016",exact_match,27496338,Deuse,2016,Neural correlates of naturalistic social cognition: brain-behavior relationships in healthy adults.,1,1
"Di Cesare et al., 2013","Di Cesare et al., 2013",multiple_matches,22349798,Janowski,2013,Empathic choice involves vmPFC value signals that are modulated by social processing implemented in IPL.,0.666666667,5
"Di Cesare et al., 2013","Di Cesare et al., 2013",multiple_matches,22661409,Klimecki,2013,Functional neural plasticity and associated changes in positive affect after compassion training.,0.666666667,5
"Di Cesare et al., 2013","Di Cesare et al., 2013",multiple_matches,23684882,Mainieri,2013,Differential role of the Mentalizing and the Mirror Neuron system in the imitation of communicative gestures.,0.666666667,5
"Di Cesare et al., 2013","Di Cesare et al., 2013",multiple_matches,24051621,Toki,2013,Automatic and intentional brain responses during evaluation of face approachability: correlations with trait anxiety.,0.666666667,5
"Di Cesare et al., 2013","Di Cesare et al., 2013",multiple_matches,24068815,Silani,2013,Right supramarginal gyrus is crucial to overcome emotional egocentricity bias in social judgments.,0.666666667,5
"Dichter et al., 2008","Dichter et al., 2008",multiple_matches,18633856,Carter,2008,Friend or foe? Brain systems involved in the perception of dynamic signals of menacing and friendly social approaches.,0.727272727,3
"Dichter et al., 2008","Dichter et al., 2008",multiple_matches,18514546,Schulte-Rüther,2008,Gender differences in brain networks supporting empathy.,0.6,3
"Dichter et al., 2008","Dichter et al., 2008",multiple_matches,18585742,Materna,2008,The posterior superior temporal sulcus is involved in social communication not specific for the eyes.,0.6,3
"Dungan et al., 2016","Dungan et al., 2016",exact_match,26969865,Dungan,2016,Theory of mind for processing unexpected events across contexts.,1,1
"Egorova et al., 2016","Egorova et al., 2016",exact_match,26505303,Egorova,2016,Brain basis of communicative actions in language.,1,1
"Falk et al., 2013","Falk et al., 2013",exact_match,23722983,Falk,2013,Creating buzz: the neural correlates of effective message propagation.,1,1
"Filkowski et al., 2015","Filkowski et al., 2015",multiple_matches,26567160,Filkowski,2016,Trying to trust: Brain activity during interpersonal social attitude change.,0.95,6
"Filkowski et al., 2015","Filkowski et al., 2015",multiple_matches,24582805,Jankowski,2014,But do you think I'm cool? Developmental differences in striatal recruitment during direct and reflected social self-evaluations.,0.75,6
"Filkowski et al., 2015","Filkowski et al., 2015",multiple_matches,26235682,Kawasaki,2016,Differential activation of the ventromedial prefrontal cortex between male and female givers of social reputation.,0.664285714,6
"Filkowski et al., 2015","Filkowski et al., 2015",multiple_matches,26385612,Luo,2016,Genetic and neural correlates of romantic relationship satisfaction.,0.616666667,6
"Filkowski et al., 2015","Filkowski et al., 2015",multiple_matches,27266443,Kirk,2016,Mindfulness training increases cooperative decision making in economic exchanges: Evidence from fMRI.,0.616666667,6
"Filkowski et al., 2015","Filkowski et al., 2015",multiple_matches,23327932,Luo,2014,Reminders of mortality decrease midcingulate activity in response to others' suffering.,0.616666667,6
"Fruhholz et al., 2020","Fruhholz et al., 2020",fuzzy_match,31783116,Frühholz,2020,Neural oscillations in human auditory cortex revealed by fast fMRI during auditory perception.,0.95,1
"Georgescu et al., 2013","Georgescu et al., 2013",fuzzy_match,22125232,Gordon,2013,Brain mechanisms for processing affective touch.,0.6,1
"Gilead et al., 2013","Gilead et al., 2013",multiple_matches,23667619,Wildgruber,2013,Different types of laughter modulate connectivity within distinct parts of the laughter perception network.,0.6,2
"Gilead et al., 2013","Gilead et al., 2013",multiple_matches,24068815,Silani,2013,Right supramarginal gyrus is crucial to overcome emotional egocentricity bias in social judgments.,0.6,2
"Greven et al., 2016","Greven et al., 2016",exact_match,26920683,Greven,2016,Linking person perception and person knowledge in the human brain.,1,1
"Güroğlu et al., 2008","Güroğlu et al., 2008",exact_match,17964185,Güroğlu,2008,Why are friends special? Implementing a social interaction simulation task to probe the neural correlates of friendship.,1,1
"Habel et al., 2007","Habel et al., 2007",exact_match,17408704,Habel,2007,Amygdala activation and facial expressions: explicit emotion discrimination versus implicit emotion processing.,1,1
"Hamilton et al., 2017","Hamilton et al., 2017",exact_match,28905269,Hamilton,2017,Differences in Neural Response to Romantic Stimuli in Monogamous and Non-Monogamous Men.,1,1
"Han et al., 2016","Han et al., 2016",exact_match,26481048,Han,2016,Common and distinct neural mechanisms of the fundamental dimensions of social cognition.,1,1
"Hanawa et al., 2016","Hanawa et al., 2016",exact_match,26168793,Hanawa,2016,The neural basis of the imitation drive.,1,1
"Hare et al., 2010","Hare et al., 2010",exact_match,20071521,Hare,2010,Value computations in ventral medial prefrontal cortex during charitable decision making incorporate input from regions involved in social cognition.,1,1
"Harrison et al., 2009","Harrison et al., 2009",exact_match,19048432,Harrison,2009,Dynamic pupillary exchange engages brain regions encoding social salience.,1,1
"Hartung et al., 2019","Hartung et al., 2019",exact_match,31142792,Hartung,2019,Behavioural and Neural Responses to Facial Disfigurement.,1,1
"Hellbernd et al., 2018","Hellbernd et al., 2018",exact_match,29771359,Hellbernd,2018,Neural bases of social communicative intentions in speech.,1,1
"Hensel et al., 2013","Hensel et al., 2013",multiple_matches,25281889,Ihme,2014,Alexithymic features and the labeling of brief emotional facial expressions - An fMRI study.,0.616666667,2
"Hensel et al., 2013","Hensel et al., 2013",multiple_matches,21862446,Hughes,2012,Orbitofrontal cortex and anterior cingulate cortex are modulated by motivated social cognition.,0.616666667,2
"Herold et al., 2016","Herold et al., 2016",exact_match,26365506,Herold,2016,Common and distinct networks for self-referential and social stimulus processing in the human brain.,1,1
"Hughes et al., 2011","Hughes et al., 2011",fuzzy_match,21862446,Hughes,2012,Orbitofrontal cortex and anterior cingulate cortex are modulated by motivated social cognition.,0.95,1
"Ihme et al., 2014","Ihme et al., 2014",exact_match,25281889,Ihme,2014,Alexithymic features and the labeling of brief emotional facial expressions - An fMRI study.,1,1
"Isik et al., 2017","Isik et al., 2017",exact_match,29073111,Isik,2017,Perceiving social interactions in the posterior superior temporal sulcus.,1,1
"Jankowski et al., 2014","Jankowski et al., 2014",exact_match,24582805,Jankowski,2014,But do you think I'm cool? Developmental differences in striatal recruitment during direct and reflected social self-evaluations.,1,1
"Janowski et al., 2012","Janowski et al., 2012",fuzzy_match,22726841,Suzuki,2012,Learning to simulate others' decisions.,0.666666667,1
"Jiang et al., 2018","Jiang et al., 2018",exact_match,29777673,Jiang,2018,Activations of the dorsolateral prefrontal cortex and thalamus during agentic self-evaluation are negatively associated with trait self-esteem.,1,1
"Kanazawa et al., 2017","Kanazawa et al., 2017",exact_match,28931014,Kanazawa,2017,Phonological memory in sign language relies on the visuomotor neural system outside the left hemisphere language network.,1,1
"Kanske et al., 2015","Kanske et al., 2015",exact_match,26254589,Kanske,2015,Dissecting the social brain: Introducing the EmpaToM to reveal distinct neural networks and brain-behavior relations for empathy and Theory of Mind.,1,1
"Kawamichi et al., 2016","Kawamichi et al., 2016",exact_match,27090501,Kawamichi,2016,Increased frequency of social interaction is associated with enjoyment enhancement and reward system activation.,1,1
"Kawasaki et al., 2016","Kawasaki et al., 2016",exact_match,26235682,Kawasaki,2016,Differential activation of the ventromedial prefrontal cortex between male and female givers of social reputation.,1,1
"Kedia et al., 2013","Kedia et al., 2013",fuzzy_match,23508477,Kedia,2014,The neural correlates of beauty comparison.,0.95,1
"Kestemont et al., 2014","Kestemont et al., 2014",fuzzy_match,24294906,Emonds,2014,Establishing cooperation in a mixed-motive social dilemma. An fMRI study investigating the role of social value orientation and dispositional trust.,0.727272727,1
"Kirk et al., 2016","Kirk et al., 2016",exact_match,27266443,Kirk,2016,Mindfulness training increases cooperative decision making in economic exchanges: Evidence from fMRI.,1,1
"Klimecki et al., 2012","Klimecki et al., 2012",multiple_matches,22661409,Klimecki,2013,Functional neural plasticity and associated changes in positive affect after compassion training.,0.95,2
"Klimecki et al., 2012","Klimecki et al., 2012",multiple_matches,24051621,Toki,2013,Automatic and intentional brain responses during evaluation of face approachability: correlations with trait anxiety.,0.616666667,2
"Koban et al., 2013","Koban et al., 2013",multiple_matches,23460073,Koban,2014,Responses of medial and ventrolateral prefrontal cortex to interpersonal conflict for resources.,0.95,3
"Koban et al., 2013","Koban et al., 2013",multiple_matches,24772075,Korn,2014,Cultural influences on social feedback processing of character traits.,0.616666667,3
"Koban et al., 2013","Koban et al., 2013",multiple_matches,25118071,Zelinková,2014,An evaluation of traffic-awareness campaign videos: empathy induction is associated with brain function within superior temporal sulcus.,0.616666667,3
"Kohn et al., 2011","Kohn et al., 2011",exact_match,21320516,Kohn,2011,Gender differences in the neural correlates of humor processing: implications for different processing modes.,1,1
"Koppe et al., 2015","Koppe et al., 2015",exact_match,26143208,Koppe,2015,Temporal unpredictability of a stimulus sequence and the processing of neutral and emotional stimuli.,1,1
"Korn et al., 2014","Korn et al., 2014",exact_match,24772075,Korn,2014,Cultural influences on social feedback processing of character traits.,1,1
"Kumar et al., 2009","Kumar et al., 2009",exact_match,18537114,Kumar,2009,Frontal operculum temporal difference signals and social motor response learning.,1,1
"Labek et al., 2016","Labek et al., 2016",exact_match,27458363,Labek,2016,Neural Correlates of the Appraisal of Attachment Scenes in Healthy Controls and Social Cognition-An fMRI Study.,1,1
"Lamm et al., 2009","Lamm et al., 2009",multiple_matches,19199417,Lamm,2010,How do we empathize with someone who is not like us? A functional magnetic resonance imaging study.,0.95,2
"Lamm et al., 2009","Lamm et al., 2009",multiple_matches,18633834,Saarela,2008,Listening to humans walking together activates the social brain circuitry.,0.616666667,2
"Lavoie et al., 2016","Lavoie et al., 2016",exact_match,27236373,Lavoie,2016,Social representations and contextual adjustments as two distinct components of the Theory of Mind brain network: Evidence from the REMICS task.,1,1
"Lazar et al., 2014","Lazar et al., 2014",exact_match,24462962,Lazar,2014,Social cognition and neural substrates of face perception: implications for neurodevelopmental and neuropsychiatric disorders.,1,1
"Lewis et al., 2017","Lewis et al., 2017",exact_match,28338962,Lewis,2017,Higher order intentionality tasks are cognitively more demanding.,1,1
"Liu et al., 2016","Liu et al., 2016",multiple_matches,26385612,Luo,2016,Genetic and neural correlates of romantic relationship satisfaction.,0.8,2
"Liu et al., 2016","Liu et al., 2016",multiple_matches,27096431,Emmerling,2016,The Role of the Insular Cortex in Retaliation.,0.666666667,2
"Liu et al., 2018","Liu et al., 2018",exact_match,29432769,Liu,2018,Self-construals moderate associations between trait creativity and social brain network.,1,1
"Lockwood et al., 2016","Lockwood et al., 2016",exact_match,27528669,Lockwood,2016,Neurocomputational mechanisms of prosocial learning and links to empathy.,1,1
"Lotze et al., 2006","Lotze et al., 2006",fuzzy_match,16035037,Platek,2006,Neural substrates for functionally discriminating self-face from personally familiar faces.,0.6,1
"Love et al., 2011","Love et al., 2011",exact_match,21864459,Love,2011,Cerebral correlates and statistical criteria of cross-modal face and voice integration.,1,1
"Luo et al., 2013","Luo et al., 2013",multiple_matches,23327932,Luo,2014,Reminders of mortality decrease midcingulate activity in response to others' suffering.,0.95,3
"Luo et al., 2013","Luo et al., 2013",multiple_matches,24936688,Cloutier,2014,Ventral medial prefrontal cortex and person evaluation: forming impressions of others varying in financial and moral status.,0.616666667,3
"Luo et al., 2013","Luo et al., 2013",multiple_matches,22019860,Sokolov,2012,Biological motion processing: the left cerebellum communicates with the right superior temporal sulcus.,0.616666667,3
"Luo et al., 2015","Luo et al., 2015",fuzzy_match,26417673,Liu,2015,Neural basis of disgust perception in racial prejudice.,0.8,1
"Mackes et al., 2018","Mackes et al., 2018",exact_match,29890323,Mackes,2018,Tracking emotions in the brain - Revisiting the Empathic Accuracy Task.,1,1
