nimads_study_id,nimads_name,match_status,matched_pmid,matched_author,matched_year,matched_title,match_score,match_count
"Barman et al., 2015","Barman et al., 2015",exact_match,25944965,Barman,2015,Gender-specific modulation of neural mechanisms underlying social reward processing by Autism Quotient.,1.0,1
"Beyer et al., 2014","Beyer et al., 2014",multiple_matches,23887810,Krueger,2014,An fMRI investigation of the effects of belief in free will on third-party punishment.,0.6666666666666667,5
"Beyer et al., 2014","Beyer et al., 2014",multiple_matches,24097375,Schaefer,2014,Rough primes and rough conversations: evidence for a modality-specific basis to mental metaphors.,0.6666666666666667,5
"Beyer et al., 2014","Beyer et al., 2014",multiple_matches,24814646,Fehr,2014,Neural correlates of the empathic perceptual processing of realistic social interaction scenarios displayed from a first-order perspective.,0.6666666666666667,5
"Beyer et al., 2014","Beyer et al., 2014",multiple_matches,24294841,Reniers,2014,"Empathy, ToM, and self-other differentiation: an fMRI study of internal states.",0.6,5
"Beyer et al., 2014","Beyer et al., 2014",multiple_matches,25042446,Schneider,2014,Implicit false-belief processing in the human brain.,0.6,5
"Bockler et al., 2016","Bockler et al., 2016",fuzzy_match,25996424,Böckler,2016,(How) observed eye-contact modulates gaze following. An fMRI study.,0.95,1
"Bristow et al., 2007","Bristow et al., 2007",exact_match,18985119,Bristow,2007,Social interaction modifies neural response to gaze shifts.,1.0,1
"Caruana et al., 2015","Caruana et al., 2015",exact_match,25534111,Caruana,2015,A frontotemporoparietal network common to initiating and responding to joint attention bids.,1.0,1
"Cassidy et al., 2016","Cassidy et al., 2016",exact_match,26908320,Cassidy,2016,Dynamic neural mechanisms underlie race disparities in social cognition.,1.0,1
"Catmur et al., 2008","Catmur et al., 2008",exact_match,18783371,Catmur,2008,Through the looking glass: counter-mirror activation following incompatible sensorimotor learning.,1.0,1
"Chen et al., 2010","Chen et al., 2010",exact_match,20188190,Chen,2010,'Do I like this person?' A network analysis of midline cortex during a social preference task.,1.0,1
"Cloutier et al., 2014","Cloutier et al., 2014",exact_match,24936688,Cloutier,2014,Ventral medial prefrontal cortex and person evaluation: forming impressions of others varying in financial and moral status.,1.0,1
"Contreras et al., 2011","Contreras et al., 2011",fuzzy_match,21569855,Cloutier,2011,An fMRI study of violations of social expectations: when people are not who we expect them to be.,0.6666666666666667,1
"Cooper et al., 2013","Cooper et al., 2013",multiple_matches,23599165,Cooper,2014,The role of the posterior temporal and medial prefrontal cortices in mediating learning from romantic interest and rejection.,0.95,2
"Cooper et al., 2013","Cooper et al., 2013",multiple_matches,24814646,Fehr,2014,Neural correlates of the empathic perceptual processing of realistic social interaction scenarios displayed from a first-order perspective.,0.6166666666666667,2
"Cuevas et al., 2019","Cuevas et al., 2019",exact_match,30930310,Cuevas,2019,The facilitative effect of gestures on the neural processing of semantic complexity in a continuous narrative.,1.0,1
"Davies-Thompson et al., 2018","Davies-Thompson et al., 2018",multiple_matches,29330483,Safron,2018,"Neural Correlates of Sexual Orientation in Heterosexual, Bisexual, and Homosexual Women.",0.6666666666666667,2
"Davies-Thompson et al., 2018","Davies-Thompson et al., 2018",multiple_matches,29723244,Tso,2018,"The ""social brain"" is highly sensitive to the mere presence of social information: An automated meta-analysis and an independent study.",0.6666666666666667,2
"Derntl et al., 2009","Derntl et al., 2009",exact_match,19136216,Derntl,2009,Amygdala activity to fear and anger in healthy young males is associated with testosterone.,1.0,1
"Dichter et al., 2008","Dichter et al., 2008",multiple_matches,18633856,Carter,2008,Friend or foe? Brain systems involved in the perception of dynamic signals of menacing and friendly social approaches.,0.7272727272727273,3
"Dichter et al., 2008","Dichter et al., 2008",multiple_matches,18514546,Schulte-Rüther,2008,Gender differences in brain networks supporting empathy.,0.6,3
"Dichter et al., 2008","Dichter et al., 2008",multiple_matches,18585742,Materna,2008,The posterior superior temporal sulcus is involved in social communication not specific for the eyes.,0.6,3
"Egorova et al., 2016","Egorova et al., 2016",exact_match,26505303,Egorova,2016,Brain basis of communicative actions in language.,1.0,1
"Falk et al., 2013","Falk et al., 2013",exact_match,23722983,Falk,2013,Creating buzz: the neural correlates of effective message propagation.,1.0,1
"Fruhholz et al., 2020","Fruhholz et al., 2020",fuzzy_match,31783116,Frühholz,2020,Neural oscillations in human auditory cortex revealed by fast fMRI during auditory perception.,0.95,1
"Gilead et al., 2013","Gilead et al., 2013",multiple_matches,23667619,Wildgruber,2013,Different types of laughter modulate connectivity within distinct parts of the laughter perception network.,0.6,2
"Gilead et al., 2013","Gilead et al., 2013",multiple_matches,24068815,Silani,2013,Right supramarginal gyrus is crucial to overcome emotional egocentricity bias in social judgments.,0.6,2
"Güroğlu et al., 2008","Güroğlu et al., 2008",exact_match,17964185,Güroğlu,2008,Why are friends special? Implementing a social interaction simulation task to probe the neural correlates of friendship.,1.0,1
"Habel et al., 2007","Habel et al., 2007",exact_match,17408704,Habel,2007,Amygdala activation and facial expressions: explicit emotion discrimination versus implicit emotion processing.,1.0,1
"Hanawa et al., 2016","Hanawa et al., 2016",exact_match,26168793,Hanawa,2016,The neural basis of the imitation drive.,1.0,1
"Harrison et al., 2009","Harrison et al., 2009",exact_match,19048432,Harrison,2009,Dynamic pupillary exchange engages brain regions encoding social salience.,1.0,1
"Hellbernd et al., 2018","Hellbernd et al., 2018",exact_match,29771359,Hellbernd,2018,Neural bases of social communicative intentions in speech.,1.0,1
"Hensel et al., 2013","Hensel et al., 2013",multiple_matches,25281889,Ihme,2014,Alexithymic features and the labeling of brief emotional facial expressions - An fMRI study.,0.6166666666666667,2
"Hensel et al., 2013","Hensel et al., 2013",multiple_matches,21862446,Hughes,2012,Orbitofrontal cortex and anterior cingulate cortex are modulated by motivated social cognition.,0.6166666666666667,2
"Ihme et al., 2014","Ihme et al., 2014",exact_match,25281889,Ihme,2014,Alexithymic features and the labeling of brief emotional facial expressions - An fMRI study.,1.0,1
"Kanazawa et al., 2017","Kanazawa et al., 2017",exact_match,28931014,Kanazawa,2017,Phonological memory in sign language relies on the visuomotor neural system outside the left hemisphere language network.,1.0,1
"Kedia et al., 2013","Kedia et al., 2013",fuzzy_match,23508477,Kedia,2014,The neural correlates of beauty comparison.,0.95,1
"Kohn et al., 2011","Kohn et al., 2011",exact_match,21320516,Kohn,2011,Gender differences in the neural correlates of humor processing: implications for different processing modes.,1.0,1
"Koppe et al., 2015","Koppe et al., 2015",exact_match,26143208,Koppe,2015,Temporal unpredictability of a stimulus sequence and the processing of neutral and emotional stimuli.,1.0,1
"Labek et al., 2016","Labek et al., 2016",exact_match,27458363,Labek,2016,Neural Correlates of the Appraisal of Attachment Scenes in Healthy Controls and Social Cognition-An fMRI Study.,1.0,1
"Lazar et al., 2014","Lazar et al., 2014",exact_match,24462962,Lazar,2014,Social cognition and neural substrates of face perception: implications for neurodevelopmental and neuropsychiatric disorders.,1.0,1
"Liu et al., 2016","Liu et al., 2016",multiple_matches,26385612,Luo,2016,Genetic and neural correlates of romantic relationship satisfaction.,0.8,2
"Liu et al., 2016","Liu et al., 2016",multiple_matches,27096431,Emmerling,2016,The Role of the Insular Cortex in Retaliation.,0.6666666666666667,2
"Lotze et al., 2006","Lotze et al., 2006",fuzzy_match,16035037,Platek,2006,Neural substrates for functionally discriminating self-face from personally familiar faces.,0.6,1
"Love et al., 2011","Love et al., 2011",exact_match,21864459,Love,2011,Cerebral correlates and statistical criteria of cross-modal face and voice integration.,1.0,1
"Luo et al., 2013","Luo et al., 2013",multiple_matches,23327932,Luo,2014,Reminders of mortality decrease midcingulate activity in response to others' suffering.,0.95,3
"Luo et al., 2013","Luo et al., 2013",multiple_matches,24936688,Cloutier,2014,Ventral medial prefrontal cortex and person evaluation: forming impressions of others varying in financial and moral status.,0.6166666666666667,3
"Luo et al., 2013","Luo et al., 2013",multiple_matches,22019860,Sokolov,2012,Biological motion processing: the left cerebellum communicates with the right superior temporal sulcus.,0.6166666666666667,3
"Mainieri et al., 2013","Mainieri et al., 2013",exact_match,23684882,Mainieri,2013,Differential role of the Mentalizing and the Mirror Neuron system in the imitation of communicative gestures.,1.0,1
"Mano et al., 2011","Mano et al., 2011",exact_match,21600991,Mano,2011,The representation of social interaction in episodic memory: a functional MRI study.,1.0,1
