nimads_study_id,nimads_name,match_status,matched_pmid,matched_author,matched_year,matched_title,match_score,match_count
10051756,"Owen, 1998",fuzzy_match,10051756,Owen,1999,Redefining the functional organization of working memory processes within human lateral prefrontal cortex.,0.95,1
11002353,"Garavan, 1999",fuzzy_match,11002353,Garavan,2000,Practice-related functional activation changes in a working memory task.,0.95,1
17679639,"Yucel, 2007",fuzzy_match,17679639,Yücel,2007,Functional and biochemical alterations of the medial frontal cortex in obsessive-compulsive disorder.,0.95,1
18363509,"Sanchez-Carrion, 2008",fuzzy_match,18363509,Sánchez-Carrión,2008,Frontal hypoactivation on functional magnetic resonance imaging in working memory after severe diffuse traumatic brain injury.,0.95,1
10865104,"de, 2000",multiple_matches,10865104,de Zubicaray,2000,Motor response suppression and the prepotent tendency to respond: a parametric fMRI study.,1,2
11668653,"de, 2001",multiple_matches,11668653,de Zubicaray,2001,The semantic interference effect in the picture-word paradigm: an event-related fMRI study employing overt responses.,1,2
10356991,"Carter, 1995",no_match,9343611,,,,0,0
"Awh, 1996","Awh, 1996",no_match,,,,,0,0
1679944,"Frith, 1991",exact_match,1679944,Frith,1991,Willed action and the prefrontal cortex in man: a study with PET.,1,1
3277066,"Petersen, 1988",exact_match,3277066,Petersen,1988,Positron emission tomographic studies of the cortical anatomy of single-word processing.,1,1
7708745,"Klein, 1995",exact_match,7708745,Klein,1995,The neural substrates underlying word generation: a bilingual functional-imaging study.,1,1
7846080,"O'Driscoll, 1995",exact_match,7846080,O'Driscoll,1995,Functional neuroanatomy of antisaccade eye movements investigated with positron emission tomography.,1,1
8232848,"Bench, 1993",exact_match,8232848,Bench,1993,Investigations of the functional anatomy of attention using the Stroop test.,1,1
8410148,"Paus, 1993",exact_match,8410148,Paus,1993,"Role of the human anterior cingulate cortex in the control of oculomotor, manual, and speech responses: a positron emission tomography study.",1,1
8430101,"Petrides, 1993",exact_match,8430101,Petrides,1993,Functional activation of the human frontal cortex during the performance of verbal working memory tasks.,1,1
8524452,"Berman, 1995",exact_match,8524452,Berman,1995,Physiological activation of a cortical network during performance of the Wisconsin Card Sorting Test: a positron emission tomography study.,1,1
8670634,"Smith, 1996",exact_match,8670634,Smith,1996,Dissociating verbal and spatial working memory using PET.,1,1
