nimads_study_id,nimads_name,match_status,matched_pmid,matched_author,matched_year,matched_title,match_score,match_count
"Bacha-Trams et al., 2017","Bacha-Trams et al., 2017",exact_match,29079809,Bacha-Trams,2017,Differential inter-subject correlation of brain activity when kinship is a variable in moral dilemma.,1,1
"Baek et al., 2017","Baek et al., 2017",exact_match,28504911,Baek,2017,The Value of Sharing Information: A Neural Account of Information Transmission.,1,1
"Balslev et al., 2006","Balslev et al., 2006",exact_match,16406606,Balslev,2006,Similar brain networks for detecting visuo-motor and visuo-proprioceptive synchrony.,1,1
"Barman et al., 2015","Barman et al., 2015",exact_match,25944965,Barman,2015,Gender-specific modulation of neural mechanisms underlying social reward processing by Autism Quotient.,1,1
"Beckes et al., 2013","Beckes et al., 2013",exact_match,22563005,Beckes,2013,Familiarity promotes the blurring of self and other in the neural representation of threat.,1,1
"Benoit et al., 2010","Benoit et al., 2010",exact_match,20045478,Benoit,2010,When I think about me and simulate you: medial rostral prefrontal cortex and self-referential processes.,1,1
"Bergström et al., 2014","Bergström et al., 2014",manual_override,,,,,0,0
"Cazzato et al., 2015","Cazzato et al., 2015",exact_match,26262561,Cazzato,2015,The attracting power of the gaze of politicians is modulated by the personality and ideological attitude of their voters: a functional magnetic resonance imaging study.,1,1
"Cheng et al., 2010","Cheng et al., 2010",manual_override,20188182,Cheng,2010,Love hurts: an fMRI study.,1,2
"Chiao et al., 2009","Chiao et al., 2009",exact_match,19107754,Chiao,2009,Neural basis of individualistic and collectivistic views of self.,1,1
"Cikara et al., 2014","Cikara et al., 2014",manual_override,24726338,Cikara,2014,Reduced self-referential neural response during intergroup competition predicts competitor harm.,1,2
"Hamilton et al., 2017","Hamilton et al., 2017",exact_match,28905269,Hamilton,2017,Differences in Neural Response to Romantic Stimuli in Monogamous and Non-Monogamous Men.,1,1
"Han et al., 2016","Han et al., 2016",manual_override,26481048,Han,2016,Common and distinct neural mechanisms of the fundamental dimensions of social cognition.,1,2
"Hartung et al., 2019","Hartung et al., 2019",exact_match,31142792,Hartung,2019,Behavioural and Neural Responses to Facial Disfigurement.,1,1
"Herold et al., 2016","Herold et al., 2016",exact_match,26365506,Herold,2016,Common and distinct networks for self-referential and social stimulus processing in the human brain.,1,1
"Jankowski et al., 2014","Jankowski et al., 2014",exact_match,24582805,Jankowski,2014,But do you think I'm cool? Developmental differences in striatal recruitment during direct and reflected social self-evaluations.,1,1
"Janowski et al., 2012","Janowski et al., 2012",manual_override,,,,,0,0
"Jiang et al., 2018","Jiang et al., 2018",exact_match,29777673,Jiang,2018,Activations of the dorsolateral prefrontal cortex and thalamus during agentic self-evaluation are negatively associated with trait self-esteem.,1,1
"Kawamichi et al., 2016","Kawamichi et al., 2016",exact_match,27090501,Kawamichi,2016,Increased frequency of social interaction is associated with enjoyment enhancement and reward system activation.,1,1
"Kawasaki et al., 2016","Kawasaki et al., 2016",exact_match,26235682,Kawasaki,2016,Differential activation of the ventromedial prefrontal cortex between male and female givers of social reputation.,1,1
"Kestemont et al., 2014","Kestemont et al., 2014",manual_override,,,,,0,0
"Kirk et al., 2016","Kirk et al., 2016",exact_match,27266443,Kirk,2016,Mindfulness training increases cooperative decision making in economic exchanges: Evidence from fMRI.,1,1
"Korn et al., 2014","Korn et al., 2014",exact_match,24772075,Korn,2014,Cultural influences on social feedback processing of character traits.,1,1
"Liu et al., 2018","Liu et al., 2018",exact_match,29432769,Liu,2018,Self-construals moderate associations between trait creativity and social brain network.,1,1
"Mclatchie et al., 2016","Mclatchie et al., 2016",exact_match,26746179,Mclatchie,2016,Imagined guilt' vs 'recollected guilt': implications for fMRI.,1,1
"Miedl et al., 2016","Miedl et al., 2016",exact_match,26892859,Miedl,2016,"Criticism hurts everybody, praise only some: Common and specific neural responses to approving and disapproving social-evaluative videos.",1,1
"Murch et al., 2014","Murch et al., 2014",exact_match,23988759,Murch,2014,A neuroimaging investigation of attribute framing and individual differences.,1,1
"Platek et al., 2005","Platek et al., 2005",manual_override,,,,,0,0
"Powers et al., 2016","Powers et al., 2016",exact_match,26206505,Powers,2016,Individual differences in response of dorsomedial prefrontal cortex predict daily social behavior.,1,1
"Ramsey et al., 2013","Ramsey et al., 2013",exact_match,23249349,Ramsey,2013,Seeing it my way or your way: frontoparietal brain areas sustain viewpoint-independent perspective selection processes.,1,1
"Rudorf et al., 2018","Rudorf et al., 2018",exact_match,29760183,Rudorf,2018,Neural Mechanisms Underlying Individual Differences in Control-Averse Behavior.,1,1
"Safron et al., 2018","Safron et al., 2018",exact_match,29330483,Safron,2018,"Neural Correlates of Sexual Orientation in Heterosexual, Bisexual, and Homosexual Women.",1,1
"Scholz et al., 2017","Scholz et al., 2017",exact_match,28242678,Scholz,2017,A neural model of valuation and information virality.,1,1
"Schulte-Rüther et al., 2008","Schulte-Rüther et al., 2008",exact_match,18514546,Schulte-Rüther,2008,Gender differences in brain networks supporting empathy.,1,1
"Seehausen et al., 2016","Seehausen et al., 2016",exact_match,26812250,Seehausen,2016,Effects of empathic social responses on the emotions of the recipient.,1,1
"Silani et al., 2013","Silani et al., 2013",exact_match,24068815,Silani,2013,Right supramarginal gyrus is crucial to overcome emotional egocentricity bias in social judgments.,1,1
"Sugiura et al., 2008","Sugiura et al., 2008",exact_match,18501639,Sugiura,2008,Face-specific and domain-general characteristics of cortical responses during self-recognition.,1,1
"Sun et al., 2016","Sun et al., 2016",exact_match,27494142,Sun,2016,The Neural Responses to Social Cooperation in Gain and Loss Context.,1,1
"Takahashi et al., 2004","Takahashi et al., 2004",exact_match,15528097,Takahashi,2004,Brain activation associated with evaluative processes of guilt and embarrassment: an fMRI study.,1,1
"Tamir et al., 2010","Tamir et al., 2010",exact_match,20534459,Tamir,2010,Neural correlates of anchoring-and-adjustment during mentalizing.,1,1
"Telzer et al., 2011","Telzer et al., 2011",exact_match,21703352,Telzer,2011,Neural regions associated with self control and mentalizing are recruited during prosocial behaviors towards the family.,1,1
"Trapp et al., 2014","Trapp et al., 2014",exact_match,24825504,Trapp,2014,Imagining triadic interactions simultaneously activates mirror and mentalizing systems.,1,1
"Tylén et al., 2016","Tylén et al., 2016",exact_match,27039141,Tylén,2016,Trails of meaning construction: Symbolic artifacts engage the social brain.,1,1
"Uddin et al., 2005","Uddin et al., 2005",exact_match,15808992,Uddin,2005,"Self-face recognition activates a frontoparietal ""mirror"" network in the right hemisphere: an event-related fMRI study.",1,1
"Van Der Heiden et al., 2013","Van Der Heiden et al., 2013",exact_match,23063451,van der Heiden,2013,Inter-individual differences in successful perspective taking during pain perception mediates emotional responsiveness in self and others: an fMRI study.,1,1
"Wade-Bohleber et al., 2019","Wade-Bohleber et al., 2019",exact_match,30077577,Wade-Bohleber,2019,Thinking about the past to shape the present: neural activation during the recall of relationship episodes.,1,1
"Weng et al., 2015","Weng et al., 2015",manual_override,,,,,0,0
"Whitman et al., 2016","Whitman et al., 2016",manual_override,27477020,Wittmann,2016,Self-Other Mergence in the Frontal Cortex during Cooperation and Competition.,0.8571428571,1
"Will et al., 2014","Will et al., 2014",manual_override,,,,,0,0
"Xie et al., 2016","Xie et al., 2016",exact_match,27095057,Xie,2016,How do you make me feel better? Social cognitive emotion regulation and the default mode network.,1,1
"Zhou et al., 2014","Zhou et al., 2014",exact_match,24834034,Zhou,2014,Money talks: neural substrate of modulation of fairness by monetary incentives.,1,1
"Zimmermann et al., 2018","Zimmermann et al., 2018",manual_override,,,,,0,0
"van den Bos et al., 2009","van den Bos et al., 2009",exact_match,19304843,van den Bos,2009,What motivates repayment? Neural correlates of reciprocity in the Trust Game.,1,1
"Anderson et al., 2013","Anderson et al., 2013",exact_match,23876243,Anderson,2013,Sex differences in the development of brain mechanisms for processing biological motion.,1,1
"Blackwood et al., 2003","Blackwood et al., 2003",exact_match,14568477,Blackwood,2003,Self-responsibility and the self-serving bias: an fMRI investigation of causal attributions.,1,1
"Chauvigne et al., 2018a","Chauvigne et al., 2018a",manual_override,29324862,Chauvigné,2018,Taking two to tango: fMRI analysis of improvised joint action with physical contact.,1,2
"Chauvigne et al., 2018b","Chauvigne et al., 2018b",manual_override,30349467,Chauvigné,2018,Role-Specific Brain Activations in Leaders and Followers During Joint Action.,1,2
"Dimenichi et al., 2016","Dimenichi et al., 2016",manual_override,,,,,0,0
"Ebisch et al., 2014","Ebisch et al., 2014",exact_match,24666131,Ebisch,2014,Reach out and touch someone: anticipatory sensorimotor processes of active interpersonal touch.,1,1
"Emonds et al., 2014","Emonds et al., 2014",exact_match,24294906,Emonds,2014,Establishing cooperation in a mixed-motive social dilemma. An fMRI study investigating the role of social value orientation and dispositional trust.,1,1
"Fehr et al., 2014","Fehr et al., 2014",manual_override,24814646,Fehr,2014,Neural correlates of the empathic perceptual processing of realistic social interaction scenarios displayed from a first-order perspective.,1,2
"Gordon et al., 2011","Gordon et al., 2011",manual_override,,,,,0,0
"Krämer et al., 2010","Krämer et al., 2010",exact_match,19944083,Krämer,2010,Emotional and cognitive aspects of empathy and their relation to social cognition--an fMRI-study.,1,1
"Reniers et al., 2014","Reniers et al., 2014",exact_match,24294841,Reniers,2014,"Empathy, ToM, and self-other differentiation: an fMRI study of internal states.",1,1
"Volz et al., 2015","Volz et al., 2015",exact_match,25729358,Volz,2015,The neural basis of deception in strategic interactions.,1,1
