nimads_study_id,nimads_name,match_status,matched_pmid,matched_author,matched_year,matched_title,match_score,match_count
"(20) Qiu, 2014","(20) Qiu, 2014",fuzzy_match,23352851,Qiu,2013,The impulsivity behavior is correlated with prefrontal cortex gray matter volume reduction in heroin-dependent individuals.,0.95,1
"(22) Yip, 2017","(22) Yip, 2017",fuzzy_match,28150390,Yip,2018,Gray-matter relationships to diagnostic and transdiagnostic features of drug and behavioral addictions.,0.95,1
"(8) Kuhn, 2010","(8) Kuhn, 2010",fuzzy_match,20875635,Kühn,2010,Reduced thickness of medial orbitofrontal cortex in smokers.,0.95,1
"(9) Kuhn, 2012","(9) Kuhn, 2012",fuzzy_match,21909705,Kühn,2012,Brain grey matter deficits in smokers: focus on the cerebellum.,0.95,1
"(16) Shen, 2017","(16) Shen, 2017",fuzzy_match,29065207,Shen,2018,Cerebellar Gray Matter Reductions Associate With Decreased Functional Connectivity in Nicotine-Dependent Individuals.,0.95,1
"(19) Liao, 2011","(19) Liao, 2011",fuzzy_match,20731627,Liao,2012,Differences between smokers and non-smokers in regional gray matter volumes: a voxel-based morphometry study.,0.95,1
"(1) Asensio, 2015","(1) Asensio, 2015",fuzzy_match,25988724,Asensio,2016,Magnetic resonance imaging structural alterations in brain of alcohol abusers and its association with impulsivity.,0.95,1
"(6) Galliant, 2006","(6) Galliant, 2006",fuzzy_match,17004938,Gallinat,2006,Smoking and structural brain deficits: a volumetric MR investigation.,0.875,1
"(12) Stoeckel, 2015","(12) Stoeckel, 2015",fuzzy_match,25990865,Stoeckel,2016,Lower gray matter density and functional connectivity in the anterior insula in smokers compared with never smokers.,0.95,1
"(5) Matochick, 2005","(5) Matochick, 2005",fuzzy_match,15607838,Matochik,2005,Altered brain tissue composition in heavy marijuana users.,0.941176470588235,1
"(1) Battisella, 2014","(1) Battisella, 2014",fuzzy_match,24633558,Battistella,2014,Long-term effects of cannabis on brain structure.,0.952380952380952,1
"(16) Van Wingen, 2013","(16) Van Wingen, 2013",fuzzy_match,23726981,van Wingen,2013,Reduced striatal brain volumes in non-medicated adult ADHD patients with comorbid cocaine dependence.,0.95,1
"(13) Moreno-Lopez, 2012","(13) Moreno-Lopez, 2012",fuzzy_match,22391134,Moreno-López,2012,Trait impulsivity and prefrontal gray matter reductions in cocaine dependent individuals.,0.95,1
"(9) Mechtcheriakov, 2006","(9) Mechtcheriakov, 2006",fuzzy_match,17088334,Mechtcheriakov,2007,A widespread distinct pattern of cerebral atrophy in patients with alcohol addiction revealed by voxel-based morphometry.,0.95,1
"(2) Barros-Loscertales, 2011","(2) Barros-Loscertales, 2011",fuzzy_match,21338692,Barrós-Loscertales,2011,Reduced striatal volume in cocaine-dependent patients.,0.95,1
"(14) Yu, 2011","(14) Yu, 2011",multiple_matches,22076160,Yu,2011,Regional grey and white matter changes in heavy male smokers.,1,2
"(12) Wang, 2016","(12) Wang, 2016",multiple_matches,25727574,Wang,2016,Abnormal gray matter volume and resting-state functional connectivity in former heroin-dependent individuals abstinent for multiple years.,1,2
"(21) Wang, 2016","(21) Wang, 2016",multiple_matches,27575491,Wang,2016,Alterations in Brain Structure and Functional Connectivity in Alcohol Dependent Patients and Possible Association with Impulsivity.,1,2
"(4) Franklin, 2014","(4) Franklin, 2014",multiple_matches,25090480,Franklin,2014,The effects of chronic cigarette smoking on gray matter volume: influence of sex.,1,2
"(1) Alia-Klein, 2011","(1) Alia-Klein, 2011",multiple_matches,21383264,Alia-Klein,2011,Gene x disease interaction on orbitofrontal gray matter in cocaine addiction.,1,2
"(10) Liao, 2010","(10) Liao, 2010",manual_override,20731627,,,,0,0
"(2) Fibley, 2014","(2) Fibley, 2014",manual_override,25385625,,,,0,0
"(7) Hanlon, 2014","(7) Hanlon, 2014",manual_override,25125263,,,,0,0
"(10) Keihani, 2017","(10) Keihani, 2017",no_pmid,,,,,0,0
"(19) Nurmedov, 2016","(19) Nurmedov, 2016",no_pmid,,,,,0,0
