sleuth_study_name,pmid
"Nagals., 2015",25640962
"Toki et al, 2013",24051621
Zink et al. 2008a,18439411
Zink et al. 2008b,18439411
"Lamm et al., 2009",18537114
"Schilbach et al., 2010",20705602
"Klimecki et al., 2012",22661409
"Luo et al., 2013",23327932
"Filkowski et al., 2015",26567160
"Hughes et al., 2011",21862446
"Davies-Thompson et al., 2018",30272134
"Platek et al., 2005",16035037
"Quirin et al., 2012",22841755
"Sugiura et al., 2010",20350171
"Ciaramidaro et al., 2013",23620602
"Di Cesare et al., 2013",23740868
"Lotze et al., 2006",17071110
"Tamir et al., 2015",26342221
"Arioli et al., 2017",29265483
"Hensel et al., 2013",24243619
"Janowski et al., 2012",2013
"Koban et al., 2013",23460073
"Wagels et al., 2016",2017
"Weng et al., 2015",2017
"Zimmermann et al., 2018",30658938
"Steinbeis et al., 2008",18603608
"Bergström et al., 2014",24700584
"Georgescu et al., 2013",24700584
"Spunt et al., 2019",27803286
"Will et al., 2014",24652858
"Kedia et al., 2013",23508477
"Kestemont et al., 2014",24633532
"Gordon et al., 2011",22125232
"Dichter et al., 2008",19015088
"Beyer et al., 2014",24842782
"Gilead et al., 2013",23482624
"Cooper et al., 2013",23599165
"Dimenichi et al., 2016",27622781
"Contreras et al., 2011",21908447
"Liu et al., 2016",26417673
"Luo et al., 2015",26385612
"Majdandzic et al., 2016",27568587
"Whitman et al., 2016",27477020
"Bockler et al., 2016",25996424
"Huis in ‘t Veld et al., 2015",25716010
"Fruhholz et al., 2020",31783116
"Iacobani et al., 2004",15006683
"Van Der Heiden et al., 2013",23378834
"Chauvigne et al., 2018a",29324862
"Chauvigne et al., 2018b",29324862
"Sapey- Triomphe et al., 2017",28008075
"Akitsuki et al., 2009",19439183
"Alba-Ferrara et al., 2011",22174872
"Anders et al., 2015",25315788
"Bacha-Trams et al., 2017",29079809
"Baek et al., 2017",28504911
"Balslev et al., 2006",16406606
"Barman et al., 2015",25944965
"Beckes et al., 2013",22563005
"Begliomini et al., 2017",29097704
"Benoit et al., 2010",20045478
"Bitsch et al., 2018",29582502
"Braams et al., 2014",23720575
"Bristow et al., 2007",18985119
"Cacioppo et al., 2014",25088911
"Canessa et al., 2012",22848759
"Carter et al., 2008",18633856
"Caruana et al., 2015",25534111
"Cassidy et al., 2016",26908320
"Catmur et al., 2008",18783371
"Cazzato et al., 2015",26262561
"Centelles et al., 2011",21249224
"Chen et al., 2010",20188190
"Cheng et al., 2010",20188182
"Chiao et al., 2009",19107754
"Cikara et al., 2014",24726338
"Cloutier et al., 2011",21569855
"Cloutier et al., 2014",24936688
